# Header: 
#   Title                 : 21-SC-45 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : H.I.Liou 
#   Institute             : (1USABNL): Brookhaven National Laboratory, Upton, NY 
#   Reference             : ((J,YK,1978,(3/30),51,1978)=(R,INDC(CCP)-134,51,1978)) 
#   Year                  : 1978 
#   Facility              : None 
# Target: 
#   Z                     : 21 
#   A                     : 45 
#   Nuclide               : 21-SC-45 
# Reaction: 
#   entry-subent-pointer  :['10687-005-2'] 
#   EXFOR reaction        :['(21-SC-45(N,EL),,WID)'] 
#   incident energy       : 3.2950e+03 eV - 2.0780e+04 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/106/10687.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10687
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   3.2950E+03   1.2000E+01        3.0        0.0          NAN          NAN          NAN          NAN   7.5000E+01   5.0000E+00          NAN          NAN          NAN          NAN
   4.3300E+03   1.8000E+01        4.0        0.0          NAN          NAN          NAN          NAN   3.4000E+02   2.0000E+01          NAN          NAN          NAN          NAN
   6.6840E+03   2.0000E+01        3.0        0.0          NAN          NAN          NAN          NAN   1.3000E+02   1.4000E+01          NAN          NAN          NAN          NAN
   8.0230E+03   2.5000E+01        4.0        0.0          NAN          NAN          NAN          NAN   1.4500E+02   1.5000E+01          NAN          NAN          NAN          NAN
   9.0920E+03   3.0000E+01        3.0        0.0          NAN          NAN          NAN          NAN   3.0000E+02   2.0000E+01          NAN          NAN          NAN          NAN
   1.0625E+04   3.5000E+01        3.0        0.0          NAN          NAN          NAN          NAN   1.0000E+01   3.0000E+00          NAN          NAN          NAN          NAN
   1.0735E+04   3.5000E+01        4.0        0.0          NAN          NAN          NAN          NAN   6.0000E+00   2.0000E+00          NAN          NAN          NAN          NAN
   1.1575E+04   5.0000E+01        4.0        0.0          NAN          NAN          NAN          NAN   2.9000E+02   2.0000E+01          NAN          NAN          NAN          NAN
   1.4525E+04   6.0000E+01        3.0        0.0          NAN          NAN          NAN          NAN   2.0000E+01   4.0000E+00          NAN          NAN          NAN          NAN
   1.4740E+04   6.0000E+01        4.0        0.0          NAN          NAN          NAN          NAN   2.6000E+01   5.0000E+00          NAN          NAN          NAN          NAN
   1.5560E+04   6.0000E+01        4.0        0.0          NAN          NAN          NAN          NAN   2.8000E+01   5.0000E+00          NAN          NAN          NAN          NAN
   1.5850E+04   6.0000E+01        3.0        0.0          NAN          NAN          NAN          NAN   5.0000E+00   2.0000E+00          NAN          NAN          NAN          NAN
   1.8580E+04   8.0000E+01        3.0        0.0          NAN          NAN          NAN          NAN   3.2000E+01   6.0000E+00          NAN          NAN          NAN          NAN
   1.8870E+04   8.0000E+01        4.0        0.0          NAN          NAN          NAN          NAN   6.2000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   2.0500E+04   9.0000E+01        4.0        0.0          NAN          NAN          NAN          NAN   8.0000E+01   1.4000E+01          NAN          NAN          NAN          NAN
   2.0780E+04   1.0000E+02        3.0        0.0          NAN          NAN          NAN          NAN   7.1000E+02   6.0000E+01          NAN          NAN          NAN          NAN
