# Header: 
#   Title                 : 62-SM-144 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : R.Macklin 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,PR/C,48,1120,199309) 
#   Year                  : 1993 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 62 
#   A                     : 144 
#   Nuclide               : 62-SM-144 
# Reaction: 
#   entry-subent-pointer  :{0: '13587-004-4', 1: '13587-004-4', 2: '13587-004-4', 3: '13587-004-4', 4: '13587-004-4', 5: '13587-004-4', 6: '13587-004-4', 7: '13587-004-4', 8: '13587-004-4', 9: '13587-004-4', 10: '13587-004-4', 11: '13587-004-4', 12: '13587-004-4', 13: '13587-004-4', 14: '13587-004-4', 15: '13587-004-4', 16: '13587-004-4', 17: '13587-004-4', 18: '13587-004-4', 19: '13587-004-4', 20: '13587-004-4', 21: '13587-004-4', 22: '13587-004-4', 23: '13587-004-4', 24: '13587-004-4', 25: '13587-004-4', 26: '13587-004-4', 27: '13587-004-4', 28: '13587-004-4', 29: '13587-004-4', 30: '13587-004-4', 31: '13587-004-4', 32: '13587-004-4', 33: '13587-004-4', 34: '13587-004-4', 35: '13587-004-4', 36: '13587-004-4', 37: '13587-004-4', 38: '13587-004-4', 39: '13587-004-4', 40: '13587-004-4', 41: '13587-004-4', 42: '13587-004-4', 43: '13587-004-4', 44: '13587-004-4', 45: '13587-004-4', 46: '13587-004-4', 47: '13587-004-4', 48: '13587-004-4', 49: '13587-004-4', 50: '13587-004-4', 51: '13587-004-4', 52: '13587-004-4', 53: '13587-004-4', 54: '13587-004-4', 55: '13587-004-4', 56: '13587-004-4', 57: '13587-004-4', 58: '13587-004-4', 59: '13587-004-4', 60: '13587-004-4', 61: '13587-004-4', 62: '13587-004-4', 63: '13587-004-4', 64: '13587-004-4', 65: '13587-004-4', 66: '13587-004-4', 67: '13587-004-4', 68: '13587-004-4', 69: '13587-004-4', 70: '13587-004-4', 71: '13587-004-4', 72: '13587-004-4', 73: '13587-004-4'} 
#   EXFOR reaction        :{0: '(62-SM-144(N,G),,WID)', 1: '(62-SM-144(N,G),,WID)', 2: '(62-SM-144(N,G),,WID)', 3: '(62-SM-144(N,G),,WID)', 4: '(62-SM-144(N,G),,WID)', 5: '(62-SM-144(N,G),,WID)', 6: '(62-SM-144(N,G),,WID)', 7: '(62-SM-144(N,G),,WID)', 8: '(62-SM-144(N,G),,WID)', 9: '(62-SM-144(N,G),,WID)', 10: '(62-SM-144(N,G),,WID)', 11: '(62-SM-144(N,G),,WID)', 12: '(62-SM-144(N,G),,WID)', 13: '(62-SM-144(N,G),,WID)', 14: '(62-SM-144(N,G),,WID)', 15: '(62-SM-144(N,G),,WID)', 16: '(62-SM-144(N,G),,WID)', 17: '(62-SM-144(N,G),,WID)', 18: '(62-SM-144(N,G),,WID)', 19: '(62-SM-144(N,G),,WID)', 20: '(62-SM-144(N,G),,WID)', 21: '(62-SM-144(N,G),,WID)', 22: '(62-SM-144(N,G),,WID)', 23: '(62-SM-144(N,G),,WID)', 24: '(62-SM-144(N,G),,WID)', 25: '(62-SM-144(N,G),,WID)', 26: '(62-SM-144(N,G),,WID)', 27: '(62-SM-144(N,G),,WID)', 28: '(62-SM-144(N,G),,WID)', 29: '(62-SM-144(N,G),,WID)', 30: '(62-SM-144(N,G),,WID)', 31: '(62-SM-144(N,G),,WID)', 32: '(62-SM-144(N,G),,WID)', 33: '(62-SM-144(N,G),,WID)', 34: '(62-SM-144(N,G),,WID)', 35: '(62-SM-144(N,G),,WID)', 36: '(62-SM-144(N,G),,WID)', 37: '(62-SM-144(N,G),,WID)', 38: '(62-SM-144(N,G),,WID)', 39: '(62-SM-144(N,G),,WID)', 40: '(62-SM-144(N,G),,WID)', 41: '(62-SM-144(N,G),,WID)', 42: '(62-SM-144(N,G),,WID)', 43: '(62-SM-144(N,G),,WID)', 44: '(62-SM-144(N,G),,WID)', 45: '(62-SM-144(N,G),,WID)', 46: '(62-SM-144(N,G),,WID)', 47: '(62-SM-144(N,G),,WID)', 48: '(62-SM-144(N,G),,WID)', 49: '(62-SM-144(N,G),,WID)', 50: '(62-SM-144(N,G),,WID)', 51: '(62-SM-144(N,G),,WID)', 52: '(62-SM-144(N,G),,WID)', 53: '(62-SM-144(N,G),,WID)', 54: '(62-SM-144(N,G),,WID)', 55: '(62-SM-144(N,G),,WID)', 56: '(62-SM-144(N,G),,WID)', 57: '(62-SM-144(N,G),,WID)', 58: '(62-SM-144(N,G),,WID)', 59: '(62-SM-144(N,G),,WID)', 60: '(62-SM-144(N,G),,WID)', 61: '(62-SM-144(N,G),,WID)', 62: '(62-SM-144(N,G),,WID)', 63: '(62-SM-144(N,G),,WID)', 64: '(62-SM-144(N,G),,WID)', 65: '(62-SM-144(N,G),,WID)', 66: '(62-SM-144(N,G),,WID)', 67: '(62-SM-144(N,G),,WID)', 68: '(62-SM-144(N,G),,WID)', 69: '(62-SM-144(N,G),,WID)', 70: '(62-SM-144(N,G),,WID)', 71: '(62-SM-144(N,G),,WID)', 72: '(62-SM-144(N,G),,WID)', 73: '(62-SM-144(N,G),,WID)'} 
#   incident energy       : 1.6219e+03 eV - 1.1917e+04 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/135/13587.x4 
#   nds                   : https://nds.iaea.org/EXFOR/13587
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        1.6219E+03               NAN               NAN               NAN        6.5900E-02        1.7000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        1.6930E+03               NAN               NAN               NAN        6.2800E-02        1.7000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        1.9823E+03               NAN               NAN               NAN        6.4600E-02        1.4000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0
        2.5846E+03               NAN               NAN               NAN        5.9300E-02        2.1000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        3.0431E+03               NAN               NAN               NAN        1.0430E-01        2.7000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        4.0420E+03               NAN               NAN               NAN        7.2600E-02        3.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        4.4873E+03               NAN               NAN               NAN        6.3600E-02        2.2000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        4.6391E+03               NAN               NAN               NAN        1.2100E-01        1.4000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        5.5674E+03               NAN               NAN               NAN        4.9000E-02        3.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        5.8200E+03               NAN               NAN               NAN        1.1800E-01        6.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0
        6.1607E+03               NAN               NAN               NAN        5.7400E-02        2.5000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        6.9048E+03               NAN               NAN               NAN        1.1900E-01        6.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0
        7.4832E+03               NAN               NAN               NAN        7.1000E-02        3.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        8.0097E+03               NAN               NAN               NAN        5.4000E-02        5.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0
        8.0859E+03               NAN               NAN               NAN        7.9000E-02        9.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        8.8917E+03               NAN               NAN               NAN        8.9000E-02        1.8000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        1.0386E+04               NAN               NAN               NAN        8.3000E-02        1.1000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0
        1.0905E+04               NAN               NAN               NAN        7.6000E-02        6.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        1.1503E+04               NAN               NAN               NAN        6.4000E-02        2.6000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        1.1917E+04               NAN               NAN               NAN        6.2000E-02        8.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
