# Header: 
#   Title                 : 62-SM-147 Resonance Parameter: WID,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 21765-002-2 
#   First Author          : M.Mizumoto 
#   Institute             : (2JPNJAE): Japan Atomic Energy Agency (JAEA) 
#   Reference             : (J,NP/A,357,90,8103) 
#   Year                  : 1981 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 62 
#   A                     : 147 
#   Isomer                :  
#   Nuclide               : 62-SM-147 
# Reaction: 
#   EXFOR Reaction        : (62-SM-147(N,EL),,WID,,2G) 
#   Incident Energy       : 3.3960e+00 eV - 1.9880e+03 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/217/21765.x4 
#   nds                   : https://nds.iaea.org/EXFOR/21765
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   3.3960E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.1800E-03   2.0000E-05          NAN          NAN          NAN          NAN
   1.8320E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.0900E-02   4.0000E-04          NAN          NAN          NAN          NAN
   2.7160E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.0800E-03   1.1000E-04          NAN          NAN          NAN          NAN
   2.9740E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2900E-02   2.0000E-04          NAN          NAN          NAN          NAN
   3.2100E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.3900E-02   6.0000E-04          NAN          NAN          NAN          NAN
   3.9640E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.0200E-02   1.1000E-03          NAN          NAN          NAN          NAN
   4.0710E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.7000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   4.9340E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.6500E-02   3.0000E-04          NAN          NAN          NAN          NAN
   5.8040E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.5900E-02   6.0000E-04          NAN          NAN          NAN          NAN
   6.4960E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.4000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   6.5130E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.8000E-03   3.0000E-04          NAN          NAN          NAN          NAN
   7.6120E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.9700E-02   6.0000E-04          NAN          NAN          NAN          NAN
   7.9880E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.2000E-03   3.0000E-04          NAN          NAN          NAN          NAN
   8.3550E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.5800E-02   1.5000E-03          NAN          NAN          NAN          NAN
   9.4900E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.6000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   9.9430E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.6300E-01   4.0000E-03          NAN          NAN          NAN          NAN
   1.0260E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.7360E-01   3.1000E-03          NAN          NAN          NAN          NAN
   1.0690E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.9700E-02   1.6000E-03          NAN          NAN          NAN          NAN
   1.0860E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   1.2360E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.5150E-01   3.3000E-03          NAN          NAN          NAN          NAN
   1.4000E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.7700E-02   2.1000E-03          NAN          NAN          NAN          NAN
