# Header: 
#   Title                 : 62-SM-147 Resonance Parameter: WID,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 11983-005-3 
#   First Author          : F.B.Simpson 
#   Institute             : (1USAMTR): Idaho Nuclear Corp., Idaho Falls, ID 
#   Reference             : (J,BAP,2,42(NA7),1957) 
#   Year                  : 1957 
#   Facility              : (CHOPF): Fast chopper 
# Target: 
#   Z                     : 62 
#   A                     : 147 
#   Isomer                :  
#   Nuclide               : 62-SM-147 
# Reaction: 
#   EXFOR Reaction        : (62-SM-147(N,EL),,WID,,G) 
#   Incident Energy       : 1.8300e+01 eV - 9.9300e+01 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/119/11983.x4 
#   nds                   : https://nds.iaea.org/EXFOR/11983
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.8300E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   3.5700E-02   3.6000E-03          NAN          NAN          NAN          NAN
   2.7000E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.4000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   2.9700E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   7.2000E-03   5.0000E-04          NAN          NAN          NAN          NAN
   3.2000E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.4200E-02   1.4000E-03          NAN          NAN          NAN          NAN
   3.9600E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   5.2000E-02   6.0000E-03          NAN          NAN          NAN          NAN
   4.9400E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.0300E-02   7.0000E-04          NAN          NAN          NAN          NAN
   5.8000E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.5400E-02   2.6000E-03          NAN          NAN          NAN          NAN
   7.6100E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.3300E-02   8.9000E-03          NAN          NAN          NAN          NAN
   7.9400E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   7.0000E-03   7.0000E-03          NAN          NAN          NAN          NAN
   8.3500E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   5.4000E-02   6.0000E-03          NAN          NAN          NAN          NAN
   9.4900E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.6300E-01   8.2000E-02          NAN          NAN          NAN          NAN
   9.9300E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   7.9000E-02   4.0000E-02          NAN          NAN          NAN          NAN
