# Header: 
#   Title                 : 62-SM-151 Resonance Parameter: WID/RED,,RM/G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 22893-005-3 
#   First Author          : S.Marrone 
#   Institute             : (2AUSAUS): Austria 
#   Reference             : (J,PR/C,73,034604,2006) 
#   Year                  : 2006 
#   Facility              : (SYNCY): Synchro cyclotron 
# Target: 
#   Z                     : 62 
#   A                     : 151 
#   Isomer                :  
#   Nuclide               : 62-SM-151 
# Reaction: 
#   EXFOR Reaction        : (62-SM-151(N,EL),,WID/RED,,RM/G) 
#   Incident Energy       : 1.0930e+00 eV - 2.0531e+01 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/228/22893.x4 
#   nds                   : https://nds.iaea.org/EXFOR/22893
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.0930E+00   1.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   3.3000E-04   5.0000E-06          NAN          NAN          NAN          NAN
   1.7040E+00   1.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   1.3900E-04   1.0000E-06          NAN          NAN          NAN          NAN
   2.0360E+00   2.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   2.2600E-04   2.0000E-06          NAN          NAN          NAN          NAN
   4.1320E+00   2.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   2.9300E-04   2.0000E-06          NAN          NAN          NAN          NAN
   6.3950E+00   2.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   1.0430E-03   2.7000E-05          NAN          NAN          NAN          NAN
   1.0448E+01   8.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   2.1220E-03   2.4400E-04          NAN          NAN          NAN          NAN
   1.1247E+01   6.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   5.5800E-04   6.2000E-05          NAN          NAN          NAN          NAN
   1.2781E+01   8.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   2.1900E-04   1.9000E-05          NAN          NAN          NAN          NAN
   1.5136E+01   7.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   1.2400E-04   9.0000E-06          NAN          NAN          NAN          NAN
   1.6750E+01   9.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   1.3040E-03   1.1700E-04          NAN          NAN          NAN          NAN
   1.7284E+01   8.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   1.9130E-03   1.5900E-04          NAN          NAN          NAN          NAN
   1.8393E+01   9.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   8.4800E-04   7.9000E-05          NAN          NAN          NAN          NAN
   1.8564E+01   9.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   4.5200E-04   4.1000E-05          NAN          NAN          NAN          NAN
   2.0531E+01   5.0000E-03        NAN        NAN          NAN          NAN          NAN          NAN   9.7000E-05   7.0000E-06          NAN          NAN          NAN          NAN
