# Header: 
#   Title                 : 38-SR-88 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 21835-002-2 
#   First Author          : B.J.Allen 
#   Institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
#   Reference             : (C,81GRENOB,,404,8109) 
#   Year                  : 1981 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 38 
#   A                     : 88 
#   Isomer                :  
#   Nuclide               : 38-SR-88 
# Reaction: 
#   EXFOR Reaction        : (38-SR-88(N,G),,WID) 
#   Incident Energy       : 1.2400e+04 eV - 3.2300e+05 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/218/21835.x4 
#   nds                   : https://nds.iaea.org/EXFOR/21835
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.2400E+04          NAN        0.5        1.0          NAN          NAN   4.8000E-01   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.3600E+04          NAN        0.5        1.0          NAN          NAN   2.3000E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.9500E+04          NAN        0.5        1.0          NAN          NAN   3.7000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.2220E+05          NAN        0.5        1.0          NAN          NAN   1.4200E+00   2.1000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.5080E+05          NAN        0.5        1.0          NAN          NAN   7.7000E-01   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.7050E+05          NAN        0.5        1.0          NAN          NAN   5.2000E-01   1.5000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.2720E+05          NAN        1.5        1.0          NAN          NAN   8.5000E-01   1.8000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.4510E+05          NAN        1.5        1.0          NAN          NAN   5.5000E-01   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.8700E+05          NAN        1.5        1.0          NAN          NAN   9.0000E-01   4.5000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   3.2300E+05          NAN        1.5        1.0          NAN          NAN   1.4000E+00   7.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
