# Header: 
#   Title                 : 73-TA-181 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : T.S.Belanova 
#   Institute             : (4RUSNIR): NIIAR Dimitrovgrad 
#   Reference             : (J,AE,38,(6),430,197506) 
#   Year                  : 1975 
#   Facility              : None 
# Target: 
#   Z                     : 73 
#   A                     : 181 
#   Nuclide               : 73-TA-181 
# Reaction: 
#   entry-subent-pointer  :{189: '40430-002-2', 190: '40430-002-2', 191: '40430-002-2', 192: '40430-002-2', 193: '40430-002-2', 194: '40430-002-2', 195: '40430-002-2', 196: '40430-002-2', 197: '40430-002-2', 198: '40430-002-2', 199: '40430-002-2', 200: '40430-002-2', 201: '40430-002-2', 202: '40430-002-2', 203: '40430-002-2', 204: '40430-002-2'} 
#   EXFOR reaction        :{189: '(73-TA-181(N,G),,WID)', 190: '(73-TA-181(N,G),,WID)', 191: '(73-TA-181(N,G),,WID)', 192: '(73-TA-181(N,G),,WID)', 193: '(73-TA-181(N,G),,WID)', 194: '(73-TA-181(N,G),,WID)', 195: '(73-TA-181(N,G),,WID)', 196: '(73-TA-181(N,G),,WID)', 197: '(73-TA-181(N,G),,WID)', 198: '(73-TA-181(N,G),,WID)', 199: '(73-TA-181(N,G),,WID)', 200: '(73-TA-181(N,G),,WID)', 201: '(73-TA-181(N,G),,WID)', 202: '(73-TA-181(N,G),,WID)', 203: '(73-TA-181(N,G),,WID)', 204: '(73-TA-181(N,G),,WID)'} 
#   incident energy       : 1.0370e+01 eV - 3.9200e+01 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/404/40430.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40430
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        1.0370E+01        3.0000E-02               NAN               NAN        7.6500E-02        3.5000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.3890E+01        6.0000E-02               NAN               NAN        5.7400E-02        3.3000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0350E+01        7.0000E-02               NAN               NAN        5.1800E-02        4.5000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.2780E+01        9.0000E-02               NAN               NAN        6.5700E-02        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.4000E+01        9.0000E-02               NAN               NAN        7.6400E-02        7.3000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.0080E+01        1.2000E-01               NAN               NAN        5.7100E-02        1.6600E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.4280E+01        1.5000E-01               NAN               NAN        6.0000E-02        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.5160E+01        2.0000E-01               NAN               NAN        7.0000E-02        1.1000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.5950E+01        2.0000E-01               NAN               NAN        6.7000E-02        8.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.9200E+01        2.0000E-01               NAN               NAN        6.4000E-02        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
