# Header: 
#   Title                 : 43-TC-99 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10671-003-3 
#   First Author          : R.C.Little 
#   Institute             : (1USARPI): Rensselaer Polytechnic Institute, Troy, NY 
#   Reference             : (J,ANS,26,574,19770612) 
#   Year                  : 1977 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 43 
#   A                     : 99 
#   Isomer                :  
#   Nuclide               : 43-TC-99 
# Reaction: 
#   EXFOR Reaction        : (43-TC-99(N,G),,WID/STR) 
#   Incident Energy       : 3.9870e+01 eV - 3.2020e+03 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/106/10671.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10671
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   3.9870E+01          NAN        NAN        NAN          NAN          NAN   4.4000E-04   3.7400E-05          NAN          NAN          NAN          NAN          NAN          NAN
   5.6660E+01          NAN        NAN        NAN          NAN          NAN   1.1400E-03   9.6900E-05          NAN          NAN          NAN          NAN          NAN          NAN
   6.1420E+01          NAN        NAN        NAN          NAN          NAN   3.0000E-05   2.9700E-06          NAN          NAN          NAN          NAN          NAN          NAN
   6.7620E+01          NAN        NAN        NAN          NAN          NAN   3.0000E-05   2.9700E-06          NAN          NAN          NAN          NAN          NAN          NAN
   8.0910E+01          NAN        NAN        NAN          NAN          NAN   5.0000E-05   4.7500E-06          NAN          NAN          NAN          NAN          NAN          NAN
   8.1600E+01          NAN        NAN        NAN          NAN          NAN   5.0000E-05   4.7000E-06          NAN          NAN          NAN          NAN          NAN          NAN
   1.1120E+02          NAN        NAN        NAN          NAN          NAN   3.2600E-03   2.7710E-04          NAN          NAN          NAN          NAN          NAN          NAN
   1.2370E+02          NAN        NAN        NAN          NAN          NAN   1.4200E-03   1.2070E-04          NAN          NAN          NAN          NAN          NAN          NAN
   1.4800E+02          NAN        NAN        NAN          NAN          NAN   4.0000E-05   4.4400E-06          NAN          NAN          NAN          NAN          NAN          NAN
   1.6290E+02          NAN        NAN        NAN          NAN          NAN   8.8000E-03   7.4800E-04          NAN          NAN          NAN          NAN          NAN          NAN
   1.7320E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8220E+02          NAN        NAN        NAN          NAN          NAN   8.4800E-03   7.2080E-04          NAN          NAN          NAN          NAN          NAN          NAN
   1.9190E+02          NAN        NAN        NAN          NAN          NAN   8.1600E-03   6.9360E-04          NAN          NAN          NAN          NAN          NAN          NAN
   1.9640E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0660E+02          NAN        NAN        NAN          NAN          NAN   2.4000E-04   2.1360E-05          NAN          NAN          NAN          NAN          NAN          NAN
   2.1010E+02          NAN        NAN        NAN          NAN          NAN   1.9000E-04   1.7100E-05          NAN          NAN          NAN          NAN          NAN          NAN
   2.1490E+02          NAN        NAN        NAN          NAN          NAN   3.9000E-04   3.3930E-05          NAN          NAN          NAN          NAN          NAN          NAN
   2.2070E+02          NAN        NAN        NAN          NAN          NAN   2.0000E-04   1.8200E-05          NAN          NAN          NAN          NAN          NAN          NAN
   2.2610E+02          NAN        NAN        NAN          NAN          NAN   1.0000E-04   9.8000E-06          NAN          NAN          NAN          NAN          NAN          NAN
   2.4130E+02          NAN        NAN        NAN          NAN          NAN   8.7500E-03   7.4375E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.6160E+02          NAN        NAN        NAN          NAN          NAN   9.0000E-05   9.4500E-06          NAN          NAN          NAN          NAN          NAN          NAN
   2.7310E+02          NAN        NAN        NAN          NAN          NAN   3.1000E-04   2.8210E-05          NAN          NAN          NAN          NAN          NAN          NAN
   2.7990E+02          NAN        NAN        NAN          NAN          NAN   4.6400E-03   3.9440E-04          NAN          NAN          NAN          NAN          NAN          NAN
   3.0020E+02          NAN        NAN        NAN          NAN          NAN   1.0620E-02   9.0270E-04          NAN          NAN          NAN          NAN          NAN          NAN
   3.0700E+02          NAN        NAN        NAN          NAN          NAN   5.2200E-03   4.4370E-04          NAN          NAN          NAN          NAN          NAN          NAN
   3.1780E+02          NAN        NAN        NAN          NAN          NAN   2.8000E-04   2.5760E-05          NAN          NAN          NAN          NAN          NAN          NAN
   3.2470E+02          NAN        NAN        NAN          NAN          NAN   2.2000E-04   2.1120E-05          NAN          NAN          NAN          NAN          NAN          NAN
   3.3360E+02          NAN        NAN        NAN          NAN          NAN   7.0000E-05   7.2800E-06          NAN          NAN          NAN          NAN          NAN          NAN
   3.4320E+02          NAN        NAN        NAN          NAN          NAN   7.3000E-04   6.4240E-05          NAN          NAN          NAN          NAN          NAN          NAN
   3.5020E+02          NAN        NAN        NAN          NAN          NAN   3.3000E-04   2.9700E-05          NAN          NAN          NAN          NAN          NAN          NAN
   3.5870E+02          NAN        NAN        NAN          NAN          NAN   6.5800E-03   5.5930E-04          NAN          NAN          NAN          NAN          NAN          NAN
   3.6520E+02          NAN        NAN        NAN          NAN          NAN   2.2200E-02   1.8870E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.8020E+02          NAN        NAN        NAN          NAN          NAN   9.4500E-03   8.0325E-04          NAN          NAN          NAN          NAN          NAN          NAN
   3.8630E+02          NAN        NAN        NAN          NAN          NAN   3.7000E-04   3.3300E-05          NAN          NAN          NAN          NAN          NAN          NAN
   3.9880E+02          NAN        NAN        NAN          NAN          NAN   1.4000E-04   1.3860E-05          NAN          NAN          NAN          NAN          NAN          NAN
   4.1710E+02          NAN        NAN        NAN          NAN          NAN   1.4120E-02   1.2002E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.2710E+02          NAN        NAN        NAN          NAN          NAN   1.5350E-02   1.3048E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.3920E+02          NAN        NAN        NAN          NAN          NAN   2.3000E-04   2.1620E-05          NAN          NAN          NAN          NAN          NAN          NAN
   4.4800E+02          NAN        NAN        NAN          NAN          NAN   9.6000E-04   8.4480E-05          NAN          NAN          NAN          NAN          NAN          NAN
   4.6040E+02          NAN        NAN        NAN          NAN          NAN   1.0870E-02   9.2395E-04          NAN          NAN          NAN          NAN          NAN          NAN
   4.6580E+02          NAN        NAN        NAN          NAN          NAN   6.0000E-04   5.4600E-05          NAN          NAN          NAN          NAN          NAN          NAN
   4.7890E+02          NAN        NAN        NAN          NAN          NAN   5.0200E-03   4.3172E-04          NAN          NAN          NAN          NAN          NAN          NAN
   4.8670E+02          NAN        NAN        NAN          NAN          NAN   2.4500E-03   2.1070E-04          NAN          NAN          NAN          NAN          NAN          NAN
   5.0840E+02          NAN        NAN        NAN          NAN          NAN   3.0000E-04   2.9400E-05          NAN          NAN          NAN          NAN          NAN          NAN
   5.1700E+02          NAN        NAN        NAN          NAN          NAN   6.2700E-03   5.3922E-04          NAN          NAN          NAN          NAN          NAN          NAN
   5.2100E+02          NAN        NAN        NAN          NAN          NAN   9.6700E-03   8.2195E-04          NAN          NAN          NAN          NAN          NAN          NAN
   5.2740E+02          NAN        NAN        NAN          NAN          NAN   9.3000E-04   8.3700E-05          NAN          NAN          NAN          NAN          NAN          NAN
   5.3740E+02          NAN        NAN        NAN          NAN          NAN   9.5400E-03   8.1090E-04          NAN          NAN          NAN          NAN          NAN          NAN
   5.6340E+02          NAN        NAN        NAN          NAN          NAN   4.0100E-03   3.4486E-04          NAN          NAN          NAN          NAN          NAN          NAN
