# Header: 
#   Title                 : 52-TE-123 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 41270-009-5 
#   First Author          : L.S.Danelyan 
#   Institute             : (4RUSKUR): National Issl.Tsentr "Kurchatovskii Institut", Moskva 
#   Reference             : (J,AE,14,264,1963) 
#   Year                  : 1963 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 52 
#   A                     : 123 
#   Isomer                :  
#   Nuclide               : 52-TE-123 
# Reaction: 
#   EXFOR Reaction        : (52-TE-123(N,EL),,WID) 
#   Incident Energy Type   : 2.3900e+01 eV - 3.6500e+02 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/412/41270.x4 
#   nds                   : https://nds.iaea.org/EXFOR/41270
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.3900E+01   2.0000E-01        0.0        NAN   1.1400E-01   4.0000E-03          NAN          NAN   9.2000E-02   8.0000E-03          NAN          NAN          NAN          NAN
   3.5500E+01   4.0000E-01        0.0        NAN   2.0000E-01   2.0000E-02          NAN          NAN   2.6400E-02   1.8000E-03          NAN          NAN          NAN          NAN
   9.6000E+01   2.0000E+00        NAN        NAN   1.2500E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0900E+02   2.0000E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1800E+02   2.0000E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3200E+02   3.0000E+00        1.0        NAN   2.2000E-01   1.2000E-01          NAN          NAN   4.2000E-02   7.0000E-03          NAN          NAN          NAN          NAN
   1.5700E+02   4.0000E+00        1.0        NAN   2.5000E-01   2.0000E-02          NAN          NAN   1.8000E-01   2.0000E-02          NAN          NAN          NAN          NAN
   2.3500E+02   7.0000E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.7600E+02   1.0000E+01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.1000E+02   1.1000E+01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6500E+02   1.5000E+01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
