# Header: 
#   Title                 : 52-TE-125 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 20120-029-0 
#   First Author          : H.Tellier 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : (R,CEA-N-1268,7002) 
#   Year                  : 1970 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 52 
#   A                     : 125 
#   Isomer                :  
#   Nuclide               : 52-TE-125 
# Reaction: 
#   EXFOR Reaction        : (52-TE-125(N,G),,WID) 
#   Incident Energy Type   : 1.3480e+02 eV - 3.8190e+03 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/201/20120.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20120
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.3480E+02   1.0000E-01        NAN        NAN          NAN          NAN   1.3400E-01   1.5020E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.1560E+02   1.0000E-01        NAN        NAN          NAN          NAN   1.4480E-01   1.5020E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.3050E+02   1.0000E-01        NAN        NAN          NAN          NAN   1.0460E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.6240E+02   2.0000E-01        NAN        NAN          NAN          NAN   1.6470E-01   1.5070E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.8960E+02   3.0000E-01        NAN        NAN          NAN          NAN   1.2330E-01   2.4010E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.2200E+02   3.0000E-01        NAN        NAN          NAN          NAN   1.7330E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.9740E+02   4.0000E-01        NAN        NAN          NAN          NAN   1.2750E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.3170E+02   5.0000E-01        NAN        NAN          NAN          NAN   2.4000E-01   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   5.1660E+02   5.0000E-01        NAN        NAN          NAN          NAN   1.0600E-01   4.0010E-02          NAN          NAN          NAN          NAN          NAN          NAN
   5.7900E+02   6.0000E-01        NAN        NAN          NAN          NAN   1.7000E-01   4.0040E-02          NAN          NAN          NAN          NAN          NAN          NAN
   6.2750E+02   6.0000E-01        NAN        NAN          NAN          NAN   1.4530E-01   4.0020E-02          NAN          NAN          NAN          NAN          NAN          NAN
   6.8220E+02   6.0000E-01        NAN        NAN          NAN          NAN   1.4890E-01   3.0020E-02          NAN          NAN          NAN          NAN          NAN          NAN
   6.9980E+02   7.0000E-01        NAN        NAN          NAN          NAN   1.4170E-01   3.0060E-02          NAN          NAN          NAN          NAN          NAN          NAN
   7.8080E+02   1.0000E+00        NAN        NAN          NAN          NAN   1.6270E-01   3.0230E-02          NAN          NAN          NAN          NAN          NAN          NAN
   8.1680E+02   1.0000E+00        NAN        NAN          NAN          NAN   1.5860E-01   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   9.3700E+02   1.0000E+00        NAN        NAN          NAN          NAN   1.8070E-01   5.0560E-02          NAN          NAN          NAN          NAN          NAN          NAN
   9.9950E+02   1.0000E+00        NAN        NAN          NAN          NAN   2.9270E-01   4.0700E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.0320E+03   1.0000E+00        NAN        NAN          NAN          NAN   4.0000E-01   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.0760E+03   1.0000E+00        NAN        NAN          NAN          NAN   3.0330E-01   6.0470E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.1290E+03   1.5000E+00        NAN        NAN          NAN          NAN   3.6600E-01   6.0470E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.1880E+03   1.5000E+00        NAN        NAN          NAN          NAN   1.6600E-01   9.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.2480E+03   1.5000E+00        NAN        NAN          NAN          NAN   1.9300E-01   5.0560E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.3140E+03   1.5000E+00        NAN        NAN          NAN          NAN   5.1730E-01   7.0400E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.5200E+03   1.5000E+00        NAN        NAN          NAN          NAN   1.8170E-01   8.0350E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.7130E+03   2.0000E+00        NAN        NAN          NAN          NAN   1.3530E-01   1.5000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.7470E+03   2.0000E+00        NAN        NAN          NAN          NAN   4.0330E-01   1.0170E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.0240E+03   2.0000E+00        NAN        NAN          NAN          NAN   1.9800E-01   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.0520E+03   2.0000E+00        NAN        NAN          NAN          NAN   3.6830E-01   1.5020E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.2720E+03   2.0000E+00        NAN        NAN          NAN          NAN   1.4270E+00   2.5280E-01          NAN          NAN          NAN          NAN          NAN          NAN
