# Header: 
#   Title                 : 52-TE-126 Resonance Parameter: WID/RED,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 20120-039-0 
#   First Author          : H.Tellier 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : (R,CEA-N-1268,7002) 
#   Year                  : 1970 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 52 
#   A                     : 126 
#   Isomer                :  
#   Nuclide               : 52-TE-126 
# Reaction: 
#   EXFOR Reaction        : (52-TE-126(N,EL),,WID/RED,,2G) 
#   Incident Energy       : 2.0010e+02 eV - 1.7080e+04 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/201/20120.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20120
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.0010E+02   5.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   7.6070E-02   3.5350E-03          NAN          NAN          NAN          NAN
   4.2900E+02   5.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   6.0350E-04   4.8280E-05          NAN          NAN          NAN          NAN
   1.0810E+03   5.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.8250E-04   3.0410E-05          NAN          NAN          NAN          NAN
   1.2930E+03   1.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   3.8930E-04   5.5620E-05          NAN          NAN          NAN          NAN
   1.3600E+03   1.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.6540E-03   8.1330E-05          NAN          NAN          NAN          NAN
   1.4470E+03   1.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   7.1760E-04   7.8850E-05          NAN          NAN          NAN          NAN
   1.5370E+03   1.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   9.6170E-04   7.6530E-05          NAN          NAN          NAN          NAN
   1.6940E+03   1.5000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.2510E-03   9.7170E-05          NAN          NAN          NAN          NAN
   1.7510E+03   1.5000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.8670E-03   1.1950E-04          NAN          NAN          NAN          NAN
   2.1440E+03   2.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   3.6930E-03   2.1590E-04          NAN          NAN          NAN          NAN
   2.5190E+03   2.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   9.9820E-02   3.9850E-03          NAN          NAN          NAN          NAN
   2.9350E+03   3.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   6.9400E-02   2.2150E-03          NAN          NAN          NAN          NAN
   3.2820E+03   3.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.0650E-03   1.7460E-04          NAN          NAN          NAN          NAN
   3.6760E+03   4.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.6000E-03   2.4740E-04          NAN          NAN          NAN          NAN
   3.7750E+03   4.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.4490E-03   2.4410E-04          NAN          NAN          NAN          NAN
   4.5570E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.1920E-02   1.1850E-03          NAN          NAN          NAN          NAN
   4.6620E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   4.6280E-03   5.8580E-04          NAN          NAN          NAN          NAN
   5.1020E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   4.3680E-03   6.3000E-04          NAN          NAN          NAN          NAN
   5.1480E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   5.8120E-03   6.2720E-04          NAN          NAN          NAN          NAN
   5.3180E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   7.6650E-03   8.2280E-04          NAN          NAN          NAN          NAN
   5.4750E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   3.3000E-02   8.7850E-04          NAN          NAN          NAN          NAN
   5.9610E+03   6.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   4.1450E-02   1.8130E-03          NAN          NAN          NAN          NAN
   6.5670E+03   6.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   9.8720E-04   4.9360E-04          NAN          NAN          NAN          NAN
   6.7490E+03   7.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.4080E-02   9.7380E-04          NAN          NAN          NAN          NAN
   6.8310E+03   7.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   4.5370E-03   8.4700E-04          NAN          NAN          NAN          NAN
   7.2560E+03   7.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   9.3330E-03   1.1740E-03          NAN          NAN          NAN          NAN
   7.3850E+03   7.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   9.8910E-03   1.1640E-03          NAN          NAN          NAN          NAN
   7.7600E+03   8.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.4350E-02   1.1350E-03          NAN          NAN          NAN          NAN
   8.4600E+03   8.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   4.3490E-03   2.1740E-03          NAN          NAN          NAN          NAN
   8.8540E+03   9.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.5200E-02   1.7000E-03          NAN          NAN          NAN          NAN
   9.0380E+03   1.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.0410E-02   1.4200E-03          NAN          NAN          NAN          NAN
   9.6230E+03   1.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.6510E-02   4.0780E-03          NAN          NAN          NAN          NAN
   9.9480E+03   1.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN   6.1160E-03   1.5040E-03          NAN          NAN          NAN          NAN
   1.0480E+04   1.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN   2.1000E-02   4.3950E-03          NAN          NAN          NAN          NAN
   1.0550E+04   1.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.7040E-02   2.5310E-03          NAN          NAN          NAN          NAN
   1.0590E+04   1.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.7300E-02   2.1380E-03          NAN          NAN          NAN          NAN
   1.0960E+04   1.1000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.7150E-02   2.1020E-03          NAN          NAN          NAN          NAN
   1.1150E+04   1.1000E+01        NAN        0.0          NAN          NAN          NAN          NAN   7.0060E-03   1.1360E-03          NAN          NAN          NAN          NAN
   1.1750E+04   1.1000E+01        NAN        0.0          NAN          NAN          NAN          NAN   4.7970E-02   2.5830E-03          NAN          NAN          NAN          NAN
   1.2480E+04   1.2000E+01        NAN        0.0          NAN          NAN          NAN          NAN   8.0210E-02   3.0880E-03          NAN          NAN          NAN          NAN
   1.3460E+04   1.3000E+01        NAN        0.0          NAN          NAN          NAN          NAN   8.2750E-02   3.4480E-03          NAN          NAN          NAN          NAN
   1.3580E+04   1.4000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.7590E-02   2.9600E-03          NAN          NAN          NAN          NAN
   1.4470E+04   1.4000E+01        NAN        0.0          NAN          NAN          NAN          NAN   3.5040E-02   4.9880E-03          NAN          NAN          NAN          NAN
   1.4540E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   2.7780E-02   4.3960E-03          NAN          NAN          NAN          NAN
   1.6670E+04   1.7000E+01        NAN        0.0          NAN          NAN          NAN          NAN   2.2460E-02   2.9820E-03          NAN          NAN          NAN          NAN
   1.7080E+04   1.8000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.1860E-01   5.3560E-03          NAN          NAN          NAN          NAN
