# Header: 
#   Title                 : 90-TH-229 Resonance Parameter: WID,,S0 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10198-002-2 
#   First Author          : J.Felvinci 
#   Institute             : (1USACOL): Columbia University, New York, NY 
#   Reference             : (P,NYO-73-340,197012) 
#   Year                  : 1970 
#   Facility              : (SYNCH): Synchrotron 
# Target: 
#   Z                     : 90 
#   A                     : 229 
#   Isomer                :  
#   Nuclide               : 90-TH-229 
# Reaction: 
#   EXFOR Reaction        : (90-TH-229(N,F),,WID,,S0) 
#   Incident Energy       : 6.1000e-01 eV - 5.1000e+01 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/101/10198.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10198
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   6.1000E-01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.6100E+01   2.4000E+00          NAN          NAN
   1.2600E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.3300E+02   7.1000E+00          NAN          NAN
   1.4400E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.6800E+01   2.6000E+00          NAN          NAN
   1.7200E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.4700E+01   3.5000E+00          NAN          NAN
   1.9600E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.4000E+01   5.0000E+00          NAN          NAN
   3.1800E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.2000E+01   6.0000E+00          NAN          NAN
   4.1600E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.9600E+02   2.1200E+01          NAN          NAN
   5.5800E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.0000E+01   6.0000E+00          NAN          NAN
   5.9500E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.0000E+01   5.0000E+00          NAN          NAN
   6.9500E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.9000E+01   7.0000E+00          NAN          NAN
   8.2700E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.0000E+01   4.0000E+00          NAN          NAN
   9.1500E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.0000E+01   9.0000E+00          NAN          NAN
   9.6000E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.5000E+01   8.0000E+00          NAN          NAN
   1.0400E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.5000E+01   8.0000E+00          NAN          NAN
   1.0800E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.8000E+01   6.0000E+00          NAN          NAN
   1.2600E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.8000E+01   1.0000E+01          NAN          NAN
   1.3300E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.9000E+01   7.0000E+00          NAN          NAN
   1.4600E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.1000E+01   1.0000E+01          NAN          NAN
   1.5400E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   8.3000E+01   1.5000E+01          NAN          NAN
   1.6800E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.7000E+01   1.3000E+01          NAN          NAN
   2.3300E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.5000E+01   1.4000E+01          NAN          NAN
   2.5900E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.6000E+01   1.5000E+01          NAN          NAN
   2.9700E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.5200E+02   2.6000E+01          NAN          NAN
   3.5000E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   8.1000E+01   2.0000E+01          NAN          NAN
   3.9300E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.6600E+02   3.0000E+01          NAN          NAN
   4.3200E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.4900E+02   3.0000E+01          NAN          NAN
   4.6500E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.1400E+02   2.7000E+01          NAN          NAN
   4.8500E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   9.8000E+01   2.5000E+01          NAN          NAN
   5.1000E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.1000E+01   1.6000E+01          NAN          NAN
