# Header: 
#   Title                 : 90-TH-232 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 12279-002-2 
#   First Author          : E.Haddad 
#   Institute             : (1USAGA): Gulf Energy and Environmental Systems, San Diego, CA 
#   Reference             : (J,PR,140,B50,1965) 
#   Year                  : 1965 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 90 
#   A                     : 232 
#   Isomer                :  
#   Nuclide               : 90-TH-232 
# Reaction: 
#   EXFOR Reaction        : (90-TH-232(N,EL),,WID) 
#   Incident Energy Type   : 2.1800e+01 eV - 2.2190e+02 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/122/12279.x4 
#   nds                   : https://nds.iaea.org/EXFOR/12279
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.1800E+01   4.0000E-02        NAN        NAN          NAN          NAN   2.1000E-02   5.0000E-03   2.1000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   2.3470E+01   4.0000E-02        NAN        NAN          NAN          NAN   2.2000E-02   4.0000E-03   4.0000E-03   3.0000E-04          NAN          NAN          NAN          NAN
   5.9500E+01   1.0000E-01        NAN        NAN          NAN          NAN   2.2000E-02   7.0000E-03   4.0000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   6.9200E+01   1.0000E-01        NAN        NAN          NAN          NAN   2.4000E-02   2.0000E-03   4.7000E-02   1.5000E-02          NAN          NAN          NAN          NAN
   1.1310E+02   2.0000E-01        NAN        NAN          NAN          NAN   2.3000E-02   3.0000E-03   1.4000E-02   2.0000E-03          NAN          NAN          NAN          NAN
   1.2090E+02   2.0000E-01        NAN        NAN          NAN          NAN   2.4000E-02   3.0000E-03   2.8000E-02   8.0000E-03          NAN          NAN          NAN          NAN
   1.2930E+02   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   3.7000E-03   3.0000E-04          NAN          NAN          NAN          NAN
   1.7070E+02   3.0000E-01        NAN        NAN          NAN          NAN   2.6000E-02   3.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.9310E+02   3.0000E-01        NAN        NAN          NAN          NAN   2.4000E-02   4.0000E-03   1.8000E-02   3.0000E-03          NAN          NAN          NAN          NAN
   1.9980E+02   3.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   1.0600E-02   7.0000E-04          NAN          NAN          NAN          NAN
   2.2190E+02   4.0000E-01        NAN        NAN          NAN          NAN   2.7000E-02   3.0000E-03   3.3000E-02   5.0000E-03          NAN          NAN          NAN          NAN
