# Header: 
#   Title                 : 90-TH-232 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : R.L.Macklin 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,NSE,64,849,197712) 
#   Year                  : 1977 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 90 
#   A                     : 232 
#   Nuclide               : 90-TH-232 
# Reaction: 
#   entry-subent-pointer  :['10554-005-4'] 
#   EXFOR reaction        :['(90-TH-232(N,G),,WID)'] 
#   incident energy       : 2.6047e+03 eV - 3.9972e+03 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/105/10554.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10554
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 2.6047E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6135E+03        NAN        NAN        NAN        NAN        NAN 3.2000E-02        NAN        NAN        NAN        NAN        NAN
 2.6258E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6360E+03        NAN        NAN        NAN        NAN        NAN 2.8400E-02        NAN        NAN        NAN        NAN        NAN
 2.6564E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6645E+03        NAN        NAN        NAN        NAN        NAN 2.6700E-02        NAN        NAN        NAN        NAN        NAN
 2.6730E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6783E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6893E+03        NAN        NAN        NAN        NAN        NAN 2.7100E-02        NAN        NAN        NAN        NAN        NAN
 2.6994E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.7141E+03        NAN        NAN        NAN        NAN        NAN 2.9100E-02        NAN        NAN        NAN        NAN        NAN
 2.7240E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.7344E+03        NAN        NAN        NAN        NAN        NAN 2.6900E-02        NAN        NAN        NAN        NAN        NAN
 2.7493E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.7650E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.7743E+03        NAN        NAN        NAN        NAN        NAN 2.4900E-02        NAN        NAN        NAN        NAN        NAN
 2.7833E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.7937E+03        NAN        NAN        NAN        NAN        NAN 2.8300E-02        NAN        NAN        NAN        NAN        NAN
 2.8037E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.8165E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.8339E+03        NAN        NAN        NAN        NAN        NAN 2.8300E-02        NAN        NAN        NAN        NAN        NAN
 2.8400E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.8449E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.8533E+03        NAN        NAN        NAN        NAN        NAN 2.6100E-02        NAN        NAN        NAN        NAN        NAN
 2.8623E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.8709E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.8847E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.8962E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.9100E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.9150E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.9328E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.9415E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.9494E+03        NAN        NAN        NAN        NAN        NAN 3.2600E-02        NAN        NAN        NAN        NAN        NAN
 2.9579E+03        NAN        NAN        NAN        NAN        NAN 2.3200E-02        NAN        NAN        NAN        NAN        NAN
 2.9671E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.9723E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.9800E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.9894E+03        NAN        NAN        NAN        NAN        NAN 3.0800E-02        NAN        NAN        NAN        NAN        NAN
 3.0069E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.0189E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.0284E+03        NAN        NAN        NAN        NAN        NAN 2.3800E-02        NAN        NAN        NAN        NAN        NAN
 3.0410E+03        NAN        NAN        NAN        NAN        NAN 3.1900E-02        NAN        NAN        NAN        NAN        NAN
 3.0619E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.0777E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.0835E+03        NAN        NAN        NAN        NAN        NAN 3.0200E-02        NAN        NAN        NAN        NAN        NAN
 3.1059E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1110E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1210E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1501E+03        NAN        NAN        NAN        NAN        NAN 2.7000E-02        NAN        NAN        NAN        NAN        NAN
 3.1544E+03        NAN        NAN        NAN        NAN        NAN 2.3700E-02        NAN        NAN        NAN        NAN        NAN
 3.1680E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1862E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1899E+03        NAN        NAN        NAN        NAN        NAN 2.2100E-02        NAN        NAN        NAN        NAN        NAN
 3.2092E+03        NAN        NAN        NAN        NAN        NAN 2.2600E-02        NAN        NAN        NAN        NAN        NAN
 3.2165E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.2302E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.2379E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.2441E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.2542E+03        NAN        NAN        NAN        NAN        NAN 2.5700E-02        NAN        NAN        NAN        NAN        NAN
 3.2711E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.2962E+03        NAN        NAN        NAN        NAN        NAN 3.4600E-02        NAN        NAN        NAN        NAN        NAN
 3.3060E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.3194E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.3331E+03        NAN        NAN        NAN        NAN        NAN 3.3200E-02        NAN        NAN        NAN        NAN        NAN
 3.3439E+03        NAN        NAN        NAN        NAN        NAN 2.7500E-02        NAN        NAN        NAN        NAN        NAN
