# Header: 
#   Title                 : 90-TH-232 Resonance Parameter: WID,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 20149-058-0 
#   First Author          : P.Ribon 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : ((R,CEA-N-1149,1969)=(T,RIBON,196912)) 
#   Year                  : 1969 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 90 
#   A                     : 232 
#   Isomer                :  
#   Nuclide               : 90-TH-232 
# Reaction: 
#   EXFOR Reaction        : (90-TH-232(N,EL),,WID,,G) 
#   Incident Energy       : 8.3160e+00 eV - 3.0069e+03 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/201/20149.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20149
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   8.3160E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.8000E-07   3.6400E-08          NAN          NAN          NAN          NAN
   1.3081E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.2000E-07   3.5200E-08          NAN          NAN          NAN          NAN
   2.1753E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0500E-03   6.1500E-05          NAN          NAN          NAN          NAN
   2.3409E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.7500E-03   1.1250E-04          NAN          NAN          NAN          NAN
   3.6896E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0300E-06   3.0900E-07          NAN          NAN          NAN          NAN
   3.8135E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.1000E-07   2.4400E-07          NAN          NAN          NAN          NAN
   4.0895E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.8000E-07   2.3200E-07          NAN          NAN          NAN          NAN
   4.6971E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.3500E-06   4.0500E-07          NAN          NAN          NAN          NAN
   4.9820E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.0000E-07   4.5000E-07          NAN          NAN          NAN          NAN
   5.8750E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   9.6000E-06   1.0560E-06          NAN          NAN          NAN          NAN
   5.9484E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.0200E-03   1.0050E-04          NAN          NAN          NAN          NAN
   6.4550E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.0000E-07          NAN          NAN          NAN          NAN          NAN
   6.9194E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.3800E-02   1.0950E-03          NAN          NAN          NAN          NAN
   9.0068E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.0000E-06   2.8000E-06          NAN          NAN          NAN          NAN
   9.8076E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.0000E-06   2.5000E-06          NAN          NAN          NAN          NAN
   1.0361E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.0000E-06   2.4000E-06          NAN          NAN          NAN          NAN
   1.1196E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.0000E-06          NAN          NAN          NAN          NAN          NAN
   1.1300E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.3600E-02   4.0800E-04          NAN          NAN          NAN          NAN
   1.1772E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0000E-06          NAN          NAN          NAN          NAN          NAN
   1.2084E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.3000E-02   6.9000E-04          NAN          NAN          NAN          NAN
   1.2818E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.3000E-05   1.3140E-05          NAN          NAN          NAN          NAN
   1.2916E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.4600E-03   3.4600E-04          NAN          NAN          NAN          NAN
