# Header: 
#   Title                 : 22-TI-48 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-23 
# EXFOR Bibliographic Information: 
#   First Author          : J.B.Garg 
#   Institute             : (1USACOL): Columbia University, New York, NY 
#   Reference             : (J,PR/C,3,2447,197106) 
#   Year                  : 1971 
#   Facility              : (SYNCY): Synchro cyclotron 
# Target: 
#   Z                     : 22 
#   A                     : 48 
#   Nuclide               : 22-TI-48 
# Reaction: 
#   entry-subent-pointer  :{92: '10172-028-2', 93: '10172-028-2', 94: '10172-028-2', 95: '10172-028-2', 96: '10172-028-2', 97: '10172-028-2', 98: '10172-028-2', 99: '10172-028-2', 100: '10172-028-2', 101: '10172-028-2', 102: '10172-028-2', 103: '10172-028-5', 104: '10172-028-5', 105: '10172-028-5', 106: '10172-028-5', 107: '10172-028-5', 108: '10172-028-5', 109: '10172-028-5', 110: '10172-028-5', 111: '10172-028-5', 112: '10172-028-5', 113: '10172-028-5'} 
#   EXFOR reaction        :{92: '(22-TI-48(N,EL),,WID)', 93: '(22-TI-48(N,EL),,WID)', 94: '(22-TI-48(N,EL),,WID)', 95: '(22-TI-48(N,EL),,WID)', 96: '(22-TI-48(N,EL),,WID)', 97: '(22-TI-48(N,EL),,WID)', 98: '(22-TI-48(N,EL),,WID)', 99: '(22-TI-48(N,EL),,WID)', 100: '(22-TI-48(N,EL),,WID)', 101: '(22-TI-48(N,EL),,WID)', 102: '(22-TI-48(N,EL),,WID)', 103: '(22-TI-48(N,G),,WID)', 104: '(22-TI-48(N,G),,WID)', 105: '(22-TI-48(N,G),,WID)', 106: '(22-TI-48(N,G),,WID)', 107: '(22-TI-48(N,G),,WID)', 108: '(22-TI-48(N,G),,WID)', 109: '(22-TI-48(N,G),,WID)', 110: '(22-TI-48(N,G),,WID)', 111: '(22-TI-48(N,G),,WID)', 112: '(22-TI-48(N,G),,WID)', 113: '(22-TI-48(N,G),,WID)'} 
#   incident energy       : 1.7600e+04 eV - 1.9100e+05 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/101/10172.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10172
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        1.7600E+04        1.0000E+02               NAN               NAN        8.2000E+00               NAN        8.7100E+03        1.0000E+02               NAN               NAN               NAN               NAN               NAN               NAN
        2.2100E+04        1.0000E+02               NAN               NAN               NAN               NAN        6.5000E+02        5.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN
        3.6800E+04        1.0000E+02               NAN               NAN               NAN               NAN        1.2500E+03        1.0000E+02               NAN               NAN               NAN               NAN               NAN               NAN
        5.1900E+04        2.0000E+02               NAN               NAN               NAN               NAN        2.3600E+03        2.0000E+02               NAN               NAN               NAN               NAN               NAN               NAN
        7.4200E+04        2.0000E+02               NAN               NAN               NAN               NAN        1.5000E+02        1.0000E+02               NAN               NAN               NAN               NAN               NAN               NAN
        8.3200E+04        4.0000E+02               NAN               NAN               NAN               NAN        1.3000E+02        1.0000E+02               NAN               NAN               NAN               NAN               NAN               NAN
        1.1860E+05        6.0000E+02               NAN               NAN               NAN               NAN        2.0000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.3300E+05        8.0000E+02               NAN               NAN               NAN               NAN        1.6000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.5450E+05        9.0000E+02               NAN               NAN               NAN               NAN        4.3000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8500E+05        1.0000E+03               NAN               NAN               NAN               NAN        7.6000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.9100E+05        1.0000E+03               NAN               NAN               NAN               NAN        2.8900E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN
