# Header: 
#   Title                 : 22-TI-49 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 21389-005-2 
#   First Author          : B.Thom 
#   Institute             : (2UK HAR): Atomic Energy Research Establishment (AERE), Harwell 
#   Reference             : (C,77GEEL,,675,1977) 
#   Year                  : 1977 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 22 
#   A                     : 49 
#   Isomer                :  
#   Nuclide               : 22-TI-49 
# Reaction: 
#   EXFOR Reaction        : (22-TI-49(N,G),,WID/STR) 
#   Incident Energy Type   : 1.4980e+03 eV - 2.5820e+04 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/213/21389.x4 
#   nds                   : https://nds.iaea.org/EXFOR/21389
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.4980E+03          NAN        NAN        NAN          NAN          NAN   2.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8220E+03          NAN        3.0        0.0          NAN          NAN   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.0840E+03          NAN        NAN        NAN          NAN          NAN   2.5000E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.7620E+03          NAN        NAN        NAN          NAN          NAN   8.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.6270E+03          NAN        NAN        NAN          NAN          NAN   6.3000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.4310E+03          NAN        4.0        0.0          NAN          NAN   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2150E+04          NAN        NAN        NAN          NAN          NAN   6.2000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3160E+04          NAN        NAN        NAN          NAN          NAN   4.4000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3980E+04          NAN        NAN        NAN          NAN          NAN   3.6000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4760E+04          NAN        NAN        NAN          NAN          NAN   1.6000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8580E+04          NAN        NAN        NAN          NAN          NAN   7.1000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9010E+04          NAN        3.0        0.0          NAN          NAN   1.8000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.1790E+04          NAN        3.0        0.0          NAN          NAN   4.2000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2920E+04          NAN        NAN        NAN          NAN          NAN   9.7000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3040E+04          NAN        3.0        0.0          NAN          NAN   2.7000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5820E+04          NAN        NAN        NAN          NAN          NAN   1.6000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
