# Header: 
#   Title                 : 22-TI-49 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : B.J.Allen 
#   Institute             : (3AULAUA): Australian Nuclear Sci.and Techn.Org., Lucas Heights,NSW 
#   Reference             : (R,AAEC/E-402,1977) 
#   Year                  : 1977 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 22 
#   A                     : 49 
#   Nuclide               : 22-TI-49 
# Reaction: 
#   entry-subent-pointer  :['30359-021-3' '30359-021-4'] 
#   EXFOR reaction        :['(22-TI-49(N,EL),,WID)' '(22-TI-49(N,G),,WID)'] 
#   incident energy       : 3.8270e+03 eV - 7.8350e+04 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/303/30359.x4 
#   nds                   : https://nds.iaea.org/EXFOR/30359
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   3.8270E+03          NAN        NAN        NAN          NAN          NAN   5.2000E-01          NAN   1.8500E+02   2.0000E+01          NAN          NAN          NAN          NAN
   4.7960E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.1000E-02          NAN          NAN          NAN          NAN          NAN
   7.6370E+03          NAN        NAN        NAN          NAN          NAN   1.3000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.4350E+03          NAN        3.0        0.0          NAN          NAN   5.8000E-01          NAN   2.5000E+02   4.0000E+01          NAN          NAN          NAN          NAN
   1.3180E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.5000E-02          NAN          NAN          NAN          NAN          NAN
   1.3980E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.1000E-02          NAN          NAN          NAN          NAN          NAN
   1.4780E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7060E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.8000E-02          NAN          NAN          NAN          NAN          NAN
   1.8600E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0000E-01          NAN          NAN          NAN          NAN          NAN
   1.9050E+04          NAN        4.0        0.0          NAN          NAN   3.2000E-01          NAN   1.2000E+02   3.0000E+01          NAN          NAN          NAN          NAN
   2.1880E+04          NAN        3.0        0.0          NAN          NAN   8.7000E-01          NAN   2.0000E+02   3.0000E+01          NAN          NAN          NAN          NAN
   2.2920E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3000E+04          NAN        3.0        0.0          NAN          NAN   1.1600E+00          NAN   7.0000E+02   1.0000E+02          NAN          NAN          NAN          NAN
   2.5840E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.7560E+04          NAN        4.0        0.0          NAN          NAN   7.5000E-01          NAN   4.2000E+02   6.0000E+01          NAN          NAN          NAN          NAN
   2.8310E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8640E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9630E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9800E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.1580E+04          NAN        NAN        NAN          NAN          NAN   1.3500E+00          NAN   3.0000E+01   1.5000E+01          NAN          NAN          NAN          NAN
   3.2400E+04          NAN        4.0        0.0          NAN          NAN   8.3000E-01          NAN   1.0000E+03   5.0000E+02          NAN          NAN          NAN          NAN
   3.4110E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5320E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6180E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6700E+04          NAN        NAN        NAN          NAN          NAN   2.9000E-01          NAN   4.0000E+02   1.0000E+02          NAN          NAN          NAN          NAN
   3.6970E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8930E+04          NAN        4.0        0.0          NAN          NAN   1.3000E+00          NAN   1.5000E+03   2.0000E+02          NAN          NAN          NAN          NAN
   4.2510E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.2720E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3450E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.4010E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.5950E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.9720E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.0200E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.0460E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.1450E+04          NAN        NAN        NAN          NAN          NAN   2.2000E-01          NAN   2.0000E+02   5.0000E+01          NAN          NAN          NAN          NAN
   5.1970E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.3200E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.6820E+04          NAN        4.0        0.0          NAN          NAN   7.9000E-01          NAN   6.0000E+02   1.5000E+02          NAN          NAN          NAN          NAN
   5.8400E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
