# Header: 
#   Title                 : 69-TM-169 Resonance Parameter: WID,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 20685-010-3 
#   First Author          : S.De Barros 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : (J,NP/A,131,305,1969) 
#   Year                  : 1969 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 69 
#   A                     : 169 
#   Isomer                :  
#   Nuclide               : 69-TM-169 
# Reaction: 
#   EXFOR Reaction        : (69-TM-169(N,EL),,WID,,G) 
#   Incident Energy       : 3.9000e+00 eV - 7.6050e+02 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/206/20685.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20685
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   3.9000E+00          NAN        1.0        NAN          NAN          NAN          NAN          NAN   5.3000E-03          NAN          NAN          NAN          NAN          NAN
   1.4300E+01          NAN        0.0        NAN          NAN          NAN          NAN          NAN   2.2000E-03          NAN          NAN          NAN          NAN          NAN
   1.7000E+01          NAN        1.0        NAN          NAN          NAN          NAN          NAN   2.4000E-03          NAN          NAN          NAN          NAN          NAN
   2.9000E+01          NAN        1.0        NAN          NAN          NAN          NAN          NAN   4.0000E-05          NAN          NAN          NAN          NAN          NAN
   3.4800E+01          NAN        1.0        NAN          NAN          NAN          NAN          NAN   5.3000E-03          NAN          NAN          NAN          NAN          NAN
   3.8000E+01          NAN        1.0        NAN          NAN          NAN          NAN          NAN   3.5000E-04          NAN          NAN          NAN          NAN          NAN
   4.4800E+01          NAN        1.0        NAN          NAN          NAN          NAN          NAN   2.5500E-03          NAN          NAN          NAN          NAN          NAN
   5.0700E+01          NAN        1.0        NAN          NAN          NAN          NAN          NAN   4.1000E-03          NAN          NAN          NAN          NAN          NAN
   5.4000E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.0000E-04          NAN          NAN          NAN          NAN          NAN
   5.9200E+01          NAN        1.0        NAN          NAN          NAN          NAN          NAN   7.7000E-03          NAN          NAN          NAN          NAN          NAN
   6.3000E+01          NAN        1.0        NAN          NAN          NAN          NAN          NAN   7.5000E-04          NAN          NAN          NAN          NAN          NAN
   6.5800E+01          NAN        0.0        NAN          NAN          NAN          NAN          NAN   3.0000E-02          NAN          NAN          NAN          NAN          NAN
   8.3500E+01          NAN        1.0        NAN          NAN          NAN          NAN          NAN   5.5000E-03          NAN          NAN          NAN          NAN          NAN
   9.3500E+01          NAN        0.0        NAN          NAN          NAN          NAN          NAN   2.7000E-02          NAN          NAN          NAN          NAN          NAN
   9.4000E+01          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.8000E-02          NAN          NAN          NAN          NAN          NAN
   9.5600E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0000E-03          NAN          NAN          NAN          NAN          NAN
   1.0170E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.5000E-04          NAN          NAN          NAN          NAN          NAN
   1.1500E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.4000E-02          NAN          NAN          NAN          NAN          NAN
   1.2520E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.0200E-02          NAN          NAN          NAN          NAN          NAN
   1.3200E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.0000E-04          NAN          NAN          NAN          NAN          NAN
   1.3610E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.7000E-02          NAN          NAN          NAN          NAN          NAN
   1.5300E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   6.3000E-02          NAN          NAN          NAN          NAN          NAN
   1.6040E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0000E-03          NAN          NAN          NAN          NAN          NAN
   1.6400E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.8000E-03          NAN          NAN          NAN          NAN          NAN
   1.7300E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8500E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0730E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.3000E-02          NAN          NAN          NAN          NAN          NAN
   2.0930E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0000E-03          NAN          NAN          NAN          NAN          NAN
   2.1300E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.6000E-02          NAN          NAN          NAN          NAN          NAN
   2.2300E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.5000E-03          NAN          NAN          NAN          NAN          NAN
   2.2700E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.0000E-03          NAN          NAN          NAN          NAN          NAN
   2.3800E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.1000E-02          NAN          NAN          NAN          NAN          NAN
   2.4300E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.5000E-03          NAN          NAN          NAN          NAN          NAN
   2.5010E+02          NAN        0.0        NAN          NAN          NAN          NAN          NAN   5.4000E-02          NAN          NAN          NAN          NAN          NAN
   2.5080E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   2.9000E-02          NAN          NAN          NAN          NAN          NAN
   2.5960E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.0400E-02          NAN          NAN          NAN          NAN          NAN
   2.7320E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.4600E-02          NAN          NAN          NAN          NAN          NAN
   2.8270E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   3.8700E-02          NAN          NAN          NAN          NAN          NAN
   2.8790E+02          NAN        0.0        NAN          NAN          NAN          NAN          NAN   3.5700E-02          NAN          NAN          NAN          NAN          NAN
   2.9000E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9530E+02          NAN        0.0        NAN          NAN          NAN          NAN          NAN   4.5000E-03          NAN          NAN          NAN          NAN          NAN
   2.9650E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.1200E-02          NAN          NAN          NAN          NAN          NAN
   3.1850E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   3.9000E-02          NAN          NAN          NAN          NAN          NAN
   3.1930E+02          NAN        0.0        NAN          NAN          NAN          NAN          NAN   2.9000E-02          NAN          NAN          NAN          NAN          NAN
   3.2400E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   6.8000E-03          NAN          NAN          NAN          NAN          NAN
   3.2800E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3240E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   3.5200E-02          NAN          NAN          NAN          NAN          NAN
   3.4570E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.6500E-02          NAN          NAN          NAN          NAN          NAN
   3.5670E+02          NAN        0.0        NAN          NAN          NAN          NAN          NAN   2.2100E-02          NAN          NAN          NAN          NAN          NAN
   3.6310E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.4000E-03          NAN          NAN          NAN          NAN          NAN
   3.7620E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   9.4000E-03          NAN          NAN          NAN          NAN          NAN
   3.7780E+02          NAN        0.0        NAN          NAN          NAN          NAN          NAN   1.1300E-02          NAN          NAN          NAN          NAN          NAN
   3.8970E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   3.3000E-02          NAN          NAN          NAN          NAN          NAN
   3.9930E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.5000E-03          NAN          NAN          NAN          NAN          NAN
   4.0700E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.0760E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.1000E-01          NAN          NAN          NAN          NAN          NAN
   4.1360E+02          NAN        0.0        NAN          NAN          NAN          NAN          NAN   9.3000E-02          NAN          NAN          NAN          NAN          NAN
   4.1530E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   2.6000E-02          NAN          NAN          NAN          NAN          NAN
   4.3300E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3980E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   2.9100E-02          NAN          NAN          NAN          NAN          NAN
   4.5470E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.7000E-03          NAN          NAN          NAN          NAN          NAN
   4.5870E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   7.6000E-03          NAN          NAN          NAN          NAN          NAN
   4.6670E+02          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.8000E-02          NAN          NAN          NAN          NAN          NAN
   4.7060E+02          NAN        0.0        NAN          NAN          NAN          NAN          NAN   9.0000E-03          NAN          NAN          NAN          NAN          NAN
   4.9190E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.0000E-03          NAN          NAN          NAN          NAN          NAN
   4.9800E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
