# Header: 
#   Title                 : 92-U-233 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 41350-002-2 
#   First Author          : I.S.Guseva 
#   Institute             : (4RUSLIN): Peterburgskiy Institute Yad.Fiz.,Russ.Ak.Nauk., Gatchina 
#   Reference             : ((S,ISINN-2,276,1994)=(S,JINR-E3-94-419,276,1994)) 
#   Year                  : 1994 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 92 
#   A                     : 233 
#   Isomer                :  
#   Nuclide               : 92-U-233 
# Reaction: 
#   EXFOR Reaction        : (92-U-233(N,TOT),,WID) 
#   Incident Energy       : 2.3400e+00 eV - 6.9410e+01 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/413/41350.x4 
#   nds                   : https://nds.iaea.org/EXFOR/41350
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.3400E+00   1.0000E-02        NAN        1.0   2.4000E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6900E+00   1.0000E-02        NAN        1.0   8.0000E-02   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.5200E+00   3.0000E-02        NAN        1.0   5.1000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.4700E+00   3.0000E-02        NAN        1.0   4.0000E-01   6.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.9500E+00   4.0000E-02        NAN        1.0   2.7000E-01   8.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2410E+01   5.0000E-02        NAN        1.0   7.8000E-01   7.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5500E+01   3.0000E-02        NAN        1.0   1.2500E-01   4.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6790E+01   6.0000E-02        NAN        1.0   2.0000E-01   6.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0460E+01   4.0000E-02        NAN        1.0   5.4000E-01   7.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.6300E+01   7.0000E-02        NAN        1.0   1.2000E+00   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4220E+01   8.0000E-02        NAN        1.0   1.3000E+00   1.5000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9140E+01   7.0000E-02        NAN        1.0   5.5000E-01   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3340E+01   9.0000E-02        NAN        1.0   2.0000E-01   1.8000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.9260E+01   8.0000E-02        NAN        1.0   5.0000E-01   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.9410E+01   1.1000E-01        NAN        1.0   1.4000E+00   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
