# Header: 
#   Title                 : 92-U-233 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 20446-004-2 
#   First Author          : J.Blons 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : (C,71KNOX,2,829,1971) 
#   Year                  : 1971 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 92 
#   A                     : 233 
#   Isomer                :  
#   Nuclide               : 92-U-233 
# Reaction: 
#   EXFOR Reaction        : (92-U-233(N,TOT),,WID) 
#   Incident Energy Type   : 5.8900e+00 eV - 1.2412e+02 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/204/20446.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20446
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   5.8900E+00          NAN        NAN        NAN   3.2000E-01          NAN          NAN          NAN          NAN          NAN   2.8100E-01          NAN          NAN          NAN
   6.2700E+00          NAN        NAN        NAN   5.3800E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.6400E+00          NAN        NAN        NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.8200E+00          NAN        NAN        NAN   1.3800E-01   1.0000E-02          NAN          NAN          NAN          NAN   9.9000E-02   6.0000E-03          NAN          NAN
   7.5000E+00          NAN        NAN        NAN   2.0000E-01          NAN          NAN          NAN          NAN          NAN   1.6100E-01          NAN          NAN          NAN
   8.6400E+00          NAN        NAN        NAN   2.4800E-01          NAN          NAN          NAN          NAN          NAN   2.0900E-01          NAN          NAN          NAN
   9.2600E+00          NAN        NAN        NAN   2.9800E-01   1.5000E-02          NAN          NAN          NAN          NAN   2.5900E-01          NAN          NAN          NAN
   9.7100E+00          NAN        NAN        NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0390E+01          NAN        NAN        NAN   3.1500E-01   2.0000E-02          NAN          NAN          NAN          NAN   2.5800E-01   1.6000E-02          NAN          NAN
   1.0860E+01          NAN        NAN        NAN   1.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1310E+01          NAN        NAN        NAN   2.1800E-01          NAN          NAN          NAN          NAN          NAN   1.7900E-01          NAN          NAN          NAN
   1.1890E+01          NAN        NAN        NAN   2.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2790E+01          NAN        NAN        NAN   3.0900E-01   2.0000E-02          NAN          NAN          NAN          NAN   2.5400E-01   1.6000E-02          NAN          NAN
   1.3450E+01          NAN        NAN        NAN   1.4400E-01   4.0000E-02          NAN          NAN          NAN          NAN   1.0500E-01          NAN          NAN          NAN
   1.3730E+01          NAN        NAN        NAN   2.5500E-01   2.4000E-02          NAN          NAN          NAN          NAN   2.1600E-01          NAN          NAN          NAN
   1.3950E+01          NAN        NAN        NAN   1.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4220E+01          NAN        NAN        NAN   4.9000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5330E+01          NAN        NAN        NAN   1.2200E-01   2.2000E-02          NAN          NAN          NAN          NAN   9.2000E-02   2.5000E-02          NAN          NAN
   1.5470E+01          NAN        NAN        NAN   2.5500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5820E+01          NAN        NAN        NAN   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
