# Header: 
#   Title                 : 92-U-233 Resonance Parameter: WID,,AA 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 20003-009-1 
#   First Author          : M.G.Cao 
#   Institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
#   Reference             : (J,JNE,24,(3),111,197006) 
#   Year                  : 1970 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 92 
#   A                     : 233 
#   Isomer                :  
#   Nuclide               : 92-U-233 
# Reaction: 
#   EXFOR Reaction        : (92-U-233(N,F),,WID,,AA) 
#   Incident Energy       : -2.7900e+00 eV - 6.4770e+01 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/200/20003.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20003
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
  -2.7900E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.7000E-01          NAN          NAN          NAN
   1.8000E-01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   7.0000E-02          NAN          NAN          NAN
   1.5980E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.9500E-01          NAN          NAN          NAN
   1.8000E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   9.2000E-02          NAN          NAN          NAN
   2.3070E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.1000E-02          NAN          NAN          NAN
   3.0400E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.2000E-01          NAN          NAN          NAN
   3.6570E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.0300E-01          NAN          NAN          NAN
   4.7500E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.9000E-01          NAN          NAN          NAN
   5.8100E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.1000E-01          NAN          NAN          NAN
   6.8560E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   9.1000E-02          NAN          NAN          NAN
   7.4500E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.5100E-01          NAN          NAN          NAN
   8.8600E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.1200E-01          NAN          NAN          NAN
   9.1800E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.0000E-01          NAN          NAN          NAN
   1.0420E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.6200E-01          NAN          NAN          NAN
   1.1210E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.0000E-01          NAN          NAN          NAN
   1.2860E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.6600E-01          NAN          NAN          NAN
   1.3760E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.0000E-01          NAN          NAN          NAN
   1.5400E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   9.4000E-02          NAN          NAN          NAN
   1.6460E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.2000E-01          NAN          NAN          NAN
   1.6540E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   8.0000E-02          NAN          NAN          NAN
   1.8110E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.0000E-01          NAN          NAN          NAN
   1.8580E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.6000E-01          NAN          NAN          NAN
   1.9000E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.5000E-01          NAN          NAN          NAN
   2.0620E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.0500E-01          NAN          NAN          NAN
   2.1950E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.1400E-01          NAN          NAN          NAN
   2.2380E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.2000E-01          NAN          NAN          NAN
   2.3040E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.8000E-01          NAN          NAN          NAN
   2.3640E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.1500E-01          NAN          NAN          NAN
   2.5270E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.9000E-01          NAN          NAN          NAN
   2.6700E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.3000E-01          NAN          NAN          NAN
   2.8480E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.6000E-01          NAN          NAN          NAN
   2.9080E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.1000E-01          NAN          NAN          NAN
   2.9750E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.1000E-01          NAN          NAN          NAN
   3.0200E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.0500E-01          NAN          NAN          NAN
   3.0810E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.4000E-01          NAN          NAN          NAN
   3.1270E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.7000E-01          NAN          NAN          NAN
   3.2030E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.5000E-01          NAN          NAN          NAN
   3.2800E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.3000E-01          NAN          NAN          NAN
   3.4100E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   6.6000E-01          NAN          NAN          NAN
   3.4590E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.2000E-01          NAN          NAN          NAN
   3.5200E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.5500E-01          NAN          NAN          NAN
   3.5550E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.9000E-01          NAN          NAN          NAN
   3.6500E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   8.5000E-02          NAN          NAN          NAN
   3.7470E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.1800E-01          NAN          NAN          NAN
   3.9480E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.0000E-01          NAN          NAN          NAN
   3.9710E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.6000E-01          NAN          NAN          NAN
   4.0150E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.6000E-01          NAN          NAN          NAN
   4.1080E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.0000E-01          NAN          NAN          NAN
   4.1900E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.0000E-01          NAN          NAN          NAN
   4.2600E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.6000E-01          NAN          NAN          NAN
   4.3450E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.4600E-01          NAN          NAN          NAN
   4.4480E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.3900E-01          NAN          NAN          NAN
   4.5300E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.0000E-02          NAN          NAN          NAN
   4.6070E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   7.0000E-02          NAN          NAN          NAN
   4.7270E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.3000E-01          NAN          NAN          NAN
   4.8670E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.3000E-01          NAN          NAN          NAN
   4.9000E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.0000E-01          NAN          NAN          NAN
   5.0300E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.0000E-01          NAN          NAN          NAN
   5.1150E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.0000E-01          NAN          NAN          NAN
   5.1905E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   6.2000E-01          NAN          NAN          NAN
   5.3000E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.3000E-01          NAN          NAN          NAN
   5.4000E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.5000E-01          NAN          NAN          NAN
   5.4770E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   9.0000E-02          NAN          NAN          NAN
   5.6090E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.7000E-01          NAN          NAN          NAN
   5.6440E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.7000E-01          NAN          NAN          NAN
   5.7500E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.6000E-01          NAN          NAN          NAN
   5.8510E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.5000E-01          NAN          NAN          NAN
   6.1350E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.7500E-01          NAN          NAN          NAN
