# Header: 
#   Title                 : 92-U-234 Resonance Parameter: WID,,S0 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 20467-004-0 
#   First Author          : G.D.James 
#   Institute             : (2UK HAR): Atomic Energy Research Establishment (AERE), Harwell 
#   Reference             : (J,NP/A,139,471,6912) 
#   Year                  : 1969 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 92 
#   A                     : 234 
#   Isomer                :  
#   Nuclide               : 92-U-234 
# Reaction: 
#   EXFOR Reaction        : (92-U-234(N,F),,WID,,S0) 
#   Incident Energy       : 5.1900e+00 eV - 7.2200e+02 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/204/20467.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20467
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   5.1900E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.2500E+00   8.5000E-02          NAN          NAN
   2.2740E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN  -3.0000E-03   1.1000E-02          NAN          NAN
   2.3420E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN  -9.0000E-03   1.1000E-02          NAN          NAN
   3.1210E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.0400E-01   2.5000E-02          NAN          NAN
   3.6860E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN  -1.3000E-02   2.3000E-02          NAN          NAN
   4.5830E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   7.1000E-02   2.6000E-02          NAN          NAN
   4.8750E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.0000E-02   3.0000E-02          NAN          NAN
   7.7660E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   9.1000E-02   4.7000E-02          NAN          NAN
   9.4750E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   6.8300E-01   8.7000E-02          NAN          NAN
   1.0665E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.0200E-01   8.0000E-02          NAN          NAN
   1.1149E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.8500E+00   2.3000E-01          NAN          NAN
   1.4675E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.1000E-02   7.1000E-02          NAN          NAN
   1.5281E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.7500E-01   7.0000E-02          NAN          NAN
   1.7725E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   9.2000E-01   1.3000E-01          NAN          NAN
   1.8350E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.1500E+00   1.5000E-01          NAN          NAN
   1.8830E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.9700E-01   9.7000E-02          NAN          NAN
   2.0950E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   6.0000E-03   7.6000E-02          NAN          NAN
   2.3870E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.3200E-01   9.2000E-02          NAN          NAN
   2.5910E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   9.1000E-01   1.7000E-01          NAN          NAN
   2.7780E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.2600E-01   1.0500E-01          NAN          NAN
   2.9140E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   9.9000E-01   1.5000E-01          NAN          NAN
