# Header: 
#   Title                 : 92-U-235 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : J.Felvinci 
#   Institute             : (1USACOL): Columbia University, New York, NY 
#   Reference             : (J,ANS,15,944,1972) 
#   Year                  : 1972 
#   Facility              : (SYNCH): Synchrotron 
# Target: 
#   Z                     : 92 
#   A                     : 235 
#   Nuclide               : 92-U-235 
# Reaction: 
#   entry-subent-pointer  :['10322-002-2'] 
#   EXFOR reaction        :['(92-U-235(N,TOT),,WID)'] 
#   incident energy       : 1.1300e+00 eV - 4.5040e+01 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/103/10322.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10322
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.1300E+00   2.0000E-02        NAN        NAN   1.4000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0300E+00   2.0000E-02        NAN        NAN   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9200E+00   2.0000E-02        NAN        NAN   1.5000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.1500E+00   2.0000E-02        NAN        NAN   1.9000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6100E+00   2.0000E-02        NAN        NAN   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.8500E+00   2.0000E-02        NAN        NAN   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.5200E+00   2.0000E-02        NAN        NAN   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.9000E+00   2.0000E-02        NAN        NAN   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.2000E+00   2.0000E-02        NAN        NAN   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.3900E+00   2.0000E-02        NAN        NAN   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.0800E+00   2.0000E-02        NAN        NAN   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.4600E+00   2.0000E-02        NAN        NAN   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.7900E+00   2.0000E-02        NAN        NAN   1.5000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.3000E+00   2.0000E-02        NAN        NAN   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.7000E+00   2.0000E-02        NAN        NAN   7.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0210E+01   2.0000E-02        NAN        NAN   9.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1670E+01   2.0000E-02        NAN        NAN   4.3000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2400E+01   2.0000E-02        NAN        NAN   8.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2900E+01   2.0000E-02        NAN        NAN   8.3000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3310E+01   2.0000E-02        NAN        NAN   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3730E+01   2.0000E-02        NAN        NAN   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4030E+01   2.0000E-02        NAN        NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4510E+01   2.0000E-02        NAN        NAN   4.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5420E+01   2.0000E-02        NAN        NAN   8.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6090E+01   2.0000E-02        NAN        NAN   5.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6690E+01   2.0000E-02        NAN        NAN   1.3800E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7060E+01   2.0000E-02        NAN        NAN   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8070E+01   2.0000E-02        NAN        NAN   1.6000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8660E+01   2.0000E-02        NAN        NAN   8.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
