# Header: 
#   Title                 : 92-U-235 Resonance Parameter: WID,,S0 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 40070-004-0 
#   First Author          : Yu.V.Ryabov 
#   Institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
#   Reference             : (R,JINR-P3-4992,1970) 
#   Year                  : 1970 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 92 
#   A                     : 235 
#   Isomer                :  
#   Nuclide               : 92-U-235 
# Reaction: 
#   EXFOR Reaction        : (92-U-235(N,TOT),,WID,,S0) 
#   Incident Energy       : 2.0260e+00 eV - 3.9470e+01 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/400/40070.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40070
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.0260E+00   4.0000E-03        NAN        NAN   4.9400E+00   4.9000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.1360E+00   6.0000E-03        NAN        NAN   1.2270E+01   5.4000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5840E+00   6.0000E-03        NAN        NAN   1.9010E+01   6.5000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.8100E+00   1.0000E-02        NAN        NAN   1.6700E+01   7.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.4500E+00          NAN        NAN        NAN   4.8000E+00   9.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.2000E+00   1.0000E-02        NAN        NAN   6.3000E+00   1.2000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.4000E+00   1.0000E-02        NAN        NAN   4.7100E+01   3.3000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.0950E+00   1.5000E-02        NAN        NAN   2.0500E+01   7.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.7700E+00   2.0000E-02        NAN        NAN   1.8200E+02   5.3000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.3000E+00   3.0000E-02        NAN        NAN   1.8300E+01   8.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0200E+01   3.0000E-02        NAN        NAN   8.4000E+00   8.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1660E+01   4.0000E-02        NAN        NAN   6.7600E+01   2.7000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2390E+01   4.0000E-02        NAN        NAN   1.2490E+02   3.7000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2820E+01   4.0000E-02        NAN        NAN   3.8000E+00   6.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3280E+01   5.0000E-02        NAN        NAN   5.3000E+00   6.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4500E+01   6.0000E-02        NAN        NAN   9.7000E+00   1.3000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5420E+01   5.0000E-02        NAN        NAN   1.9900E+01   8.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6080E+01   5.0000E-02        NAN        NAN   2.8100E+01   1.1000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6660E+01   6.0000E-02        NAN        NAN   2.1700E+01   8.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8050E+01   6.0000E-02        NAN        NAN   2.7200E+01   1.6000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9300E+01   5.0000E-02        NAN        NAN   2.2300E+02   7.8000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.1130E+01   5.0000E-02        NAN        NAN   8.7200E+01   5.5000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2990E+01   6.0000E-02        NAN        NAN   2.4200E+01   1.8000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3680E+01   7.0000E-02        NAN        NAN   5.0700E+01   9.3000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4250E+01   7.0000E-02        NAN        NAN   1.7900E+01   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5560E+01   1.0000E-01        NAN        NAN   3.1900E+01   9.5000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.6550E+01   7.0000E-02        NAN        NAN   2.1800E+01   3.7000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.7860E+01   7.0000E-02        NAN        NAN   2.6600E+01   3.1000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2100E+01   9.0000E-02        NAN        NAN   7.4100E+01   6.5000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3580E+01   9.0000E-02        NAN        NAN   7.2000E+01   7.7000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9470E+01   1.1000E-01        NAN        NAN   9.1600E+01   1.1900E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
