# Header: 
#   Title                 : 74-W-186 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10002-020-3 
#   First Author          : Z.M.Bartolome 
#   Institute             : (1USARPI): Rensselaer Polytechnic Institute, Troy, NY 
#   Reference             : (J,NSE,37,137,196907) 
#   Year                  : 1969 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 74 
#   A                     : 186 
#   Isomer                :  
#   Nuclide               : 74-W-186 
# Reaction: 
#   EXFOR Reaction        : (74-W-186(N,G),,WID) 
#   Incident Energy       : 1.9600e+02 eV - 3.4170e+03 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/100/10002.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10002
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.9600E+02   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0400E+02   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.1600E+02   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.2900E+02   4.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.1400E+02   6.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4700E+03   1.9000E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5930E+03   2.1000E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6820E+03   2.3000E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7160E+03   2.4000E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8170E+03   2.7000E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0690E+03   3.1000E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3440E+03   3.8000E+00        NAN        NAN          NAN          NAN   7.0000E-02   1.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.3860E+03   3.9000E+00        NAN        NAN          NAN          NAN   5.5000E-02   6.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.5100E+03   4.2000E+00        NAN        NAN          NAN          NAN   7.0000E-02   1.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.5300E+03   4.3000E+00        NAN        NAN          NAN          NAN   3.0000E-02   5.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.5880E+03   4.4000E+00        NAN        NAN          NAN          NAN   7.0000E-02   1.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.6530E+03   4.6000E+00        NAN        NAN          NAN          NAN   9.0000E-02   5.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.7740E+03   5.0000E+00        NAN        NAN          NAN          NAN   9.0000E-02   6.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.8780E+03   5.2000E+00        NAN        NAN          NAN          NAN   8.0000E-02   5.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.9720E+03   5.5000E+00        NAN        NAN          NAN          NAN   7.0000E-02   1.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.0280E+03   5.6000E+00        NAN        NAN          NAN          NAN   8.2000E-02   1.3000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.1020E+03   5.8000E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.1530E+03   6.0000E+00        NAN        NAN          NAN          NAN   8.0000E-02   1.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.3160E+03   6.4000E+00        NAN        NAN          NAN          NAN   8.4000E-02   8.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.4170E+03   6.8000E+00        NAN        NAN          NAN          NAN   9.0000E-02   8.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
