# Header: 
#   Title                 : 54-XE-136 Resonance Parameter: WID,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 12922-002-2 
#   First Author          : B.Fogelberg 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,PR/C,31,2041,1985) 
#   Year                  : 1985 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 54 
#   A                     : 136 
#   Isomer                :  
#   Nuclide               : 54-XE-136 
# Reaction: 
#   EXFOR Reaction        : (54-XE-136(N,EL),,WID,,G) 
#   Incident Energy       : 1.8393e+04 eV - 4.8075e+05 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/129/12922.x4 
#   nds                   : https://nds.iaea.org/EXFOR/12922
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.8393E+04   1.4714E+01        0.5        1.0          NAN          NAN          NAN          NAN   2.5000E+01   2.0000E+00          NAN          NAN          NAN          NAN
   3.6629E+04   2.9303E+01        NAN        1.0          NAN          NAN          NAN          NAN   2.4000E+01   2.0000E+00          NAN          NAN          NAN          NAN
   4.6410E+04   3.7128E+01        0.5        1.0          NAN          NAN          NAN          NAN   5.7300E+02   1.2000E+01          NAN          NAN          NAN          NAN
   5.9179E+04   4.7343E+01        NAN        1.0          NAN          NAN          NAN          NAN   2.4000E+01   3.0000E+00          NAN          NAN          NAN          NAN
   6.7644E+04   5.4115E+01        NAN        1.0          NAN          NAN          NAN          NAN   6.5000E+01   4.0000E+00          NAN          NAN          NAN          NAN
   7.6150E+04   6.0920E+01        1.5        1.0          NAN          NAN          NAN          NAN   8.9000E+01   4.0000E+00          NAN          NAN          NAN          NAN
   7.9301E+04   6.3441E+01        NAN        NAN          NAN          NAN          NAN          NAN   8.0000E+00   3.0000E+00          NAN          NAN          NAN          NAN
   1.3539E+05   1.0831E+02        0.5        1.0          NAN          NAN          NAN          NAN   1.6300E+02   1.0000E+01          NAN          NAN          NAN          NAN
   1.6304E+05   1.3043E+02        0.5        1.0          NAN          NAN          NAN          NAN   1.9500E+02   1.2000E+01          NAN          NAN          NAN          NAN
   1.6615E+05   1.3292E+02        0.5        1.0          NAN          NAN          NAN          NAN   3.2000E+02   1.5000E+01          NAN          NAN          NAN          NAN
   1.8588E+05   1.4870E+02        0.5        1.0          NAN          NAN          NAN          NAN   1.8600E+02   1.5000E+01          NAN          NAN          NAN          NAN
   2.1790E+05   1.7432E+02        NAN        1.0          NAN          NAN          NAN          NAN   4.9000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   2.1946E+05   1.7557E+02        NAN        1.0          NAN          NAN          NAN          NAN   1.2200E+02   1.5000E+01          NAN          NAN          NAN          NAN
   2.2095E+05   1.7676E+02        0.5        1.0          NAN          NAN          NAN          NAN   5.7300E+02   3.0000E+01          NAN          NAN          NAN          NAN
   2.2796E+05   1.8237E+02        1.5        1.0          NAN          NAN          NAN          NAN   4.8300E+02   2.2000E+01          NAN          NAN          NAN          NAN
   2.3224E+05   1.8579E+02        NAN        NAN          NAN          NAN          NAN          NAN   2.7000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   2.4343E+05   1.9474E+02        1.5        1.0          NAN          NAN          NAN          NAN   5.9000E+03   4.0000E+02          NAN          NAN          NAN          NAN
   2.5262E+05   2.0210E+02        NAN        NAN          NAN          NAN          NAN          NAN   4.9000E+01   1.5000E+01          NAN          NAN          NAN          NAN
   2.5347E+05   2.0278E+02        NAN        NAN          NAN          NAN          NAN          NAN   4.2000E+01   1.5000E+01          NAN          NAN          NAN          NAN
   2.8624E+05   2.2899E+02        NAN        1.0          NAN          NAN          NAN          NAN   1.3100E+02   3.0000E+01          NAN          NAN          NAN          NAN
   2.9654E+05   2.3723E+02        0.5        1.0          NAN          NAN          NAN          NAN   1.0700E+03   7.0000E+01          NAN          NAN          NAN          NAN
   3.1184E+05   2.4947E+02        NAN        1.0          NAN          NAN          NAN          NAN   1.2300E+02   3.0000E+01          NAN          NAN          NAN          NAN
   3.2999E+05   2.6399E+02        NAN        1.0          NAN          NAN          NAN          NAN   2.8800E+02   4.5000E+01          NAN          NAN          NAN          NAN
   3.4899E+05   2.7919E+02        0.5        1.0          NAN          NAN          NAN          NAN   9.1000E+02   1.0000E+02          NAN          NAN          NAN          NAN
   3.5564E+05   2.8451E+02        1.5        1.0          NAN          NAN          NAN          NAN   1.1300E+03   9.0000E+01          NAN          NAN          NAN          NAN
   3.6659E+05   2.9327E+02        1.5        1.0          NAN          NAN          NAN          NAN   7.7000E+02   8.0000E+01          NAN          NAN          NAN          NAN
   3.8365E+05   3.0692E+02        NAN        1.0          NAN          NAN          NAN          NAN   8.5000E+01   3.5000E+01          NAN          NAN          NAN          NAN
   3.9648E+05   3.1718E+02        NAN        1.0          NAN          NAN          NAN          NAN   1.7000E+02   6.0000E+01          NAN          NAN          NAN          NAN
   4.0091E+05   3.2073E+02        1.5        1.0          NAN          NAN          NAN          NAN   7.0000E+02   6.0000E+01          NAN          NAN          NAN          NAN
   4.1526E+05   3.3221E+02        1.5        1.0          NAN          NAN          NAN          NAN   9.1000E+02   9.0000E+01          NAN          NAN          NAN          NAN
   4.2977E+05   3.4382E+02        0.5        1.0          NAN          NAN          NAN          NAN   8.9000E+02   1.0000E+02          NAN          NAN          NAN          NAN
   4.4715E+05   3.5772E+02        NAN        1.0          NAN          NAN          NAN          NAN   1.0700E+02   5.0000E+01          NAN          NAN          NAN          NAN
   4.6450E+05   3.7160E+02        0.5        1.0          NAN          NAN          NAN          NAN   4.8000E+02   1.0000E+02          NAN          NAN          NAN          NAN
   4.7989E+05   3.8391E+02        1.5        1.0          NAN          NAN          NAN          NAN   6.2000E+03   4.0000E+02          NAN          NAN          NAN          NAN
   4.8075E+05   3.8460E+02        0.5        1.0          NAN          NAN          NAN          NAN   4.7000E+02   3.0000E+02          NAN          NAN          NAN          NAN
