# Header: 
#   Title                 : 70-YB-173 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : S.F.Mughabghab 
#   Institute             : (1USABNL): Brookhaven National Laboratory, Upton, NY 
#   Reference             : (J,PR,174,1400,1968) 
#   Year                  : 1968 
#   Facility              : (CHOPF): Fast chopper 
# Target: 
#   Z                     : 70 
#   A                     : 173 
#   Nuclide               : 70-YB-173 
# Reaction: 
#   entry-subent-pointer  :{7: '12130-015-3', 8: '12130-015-3', 9: '12130-015-3', 10: '12130-015-3', 11: '12130-015-3', 12: '12130-015-3', 13: '12130-015-3', 14: '12130-015-3', 15: '12130-015-3', 16: '12130-015-3', 17: '12130-015-3', 18: '12130-015-3', 19: '12130-015-3', 20: '12130-015-3', 21: '12130-015-3', 22: '12130-015-3', 23: '12130-015-3', 24: '12130-015-3', 25: '12130-015-3', 26: '12130-015-3', 27: '12130-015-3', 28: '12130-015-3', 29: '12130-015-3', 30: '12130-015-3'} 
#   EXFOR reaction        :{7: '(70-YB-173(N,G),,WID)', 8: '(70-YB-173(N,G),,WID)', 9: '(70-YB-173(N,G),,WID)', 10: '(70-YB-173(N,G),,WID)', 11: '(70-YB-173(N,G),,WID)', 12: '(70-YB-173(N,G),,WID)', 13: '(70-YB-173(N,G),,WID)', 14: '(70-YB-173(N,G),,WID)', 15: '(70-YB-173(N,G),,WID)', 16: '(70-YB-173(N,G),,WID)', 17: '(70-YB-173(N,G),,WID)', 18: '(70-YB-173(N,G),,WID)', 19: '(70-YB-173(N,G),,WID)', 20: '(70-YB-173(N,G),,WID)', 21: '(70-YB-173(N,G),,WID)', 22: '(70-YB-173(N,G),,WID)', 23: '(70-YB-173(N,G),,WID)', 24: '(70-YB-173(N,G),,WID)', 25: '(70-YB-173(N,G),,WID)', 26: '(70-YB-173(N,G),,WID)', 27: '(70-YB-173(N,G),,WID)', 28: '(70-YB-173(N,G),,WID)', 29: '(70-YB-173(N,G),,WID)', 30: '(70-YB-173(N,G),,WID)'} 
#   incident energy       : 4.5100e+00 eV - 2.1030e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/121/12130.x4 
#   nds                   : https://nds.iaea.org/EXFOR/12130
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        4.5100E+00        5.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        1.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        2.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        3.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        5.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        6.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        8.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        1.0000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        1.1000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        1.2000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        1.4000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        1.6000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        1.8000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        2.0000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        2.2000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        2.6000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        2.7000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5100E+00        2.8000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7700E+01        5.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
