# Header: 
#   Title                 : 30-ZN-66 Resonance Parameter: WID,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 12719-007-2 
#   First Author          : J.B.Garg 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,PR/C,24,1922,1981) 
#   Year                  : 1981 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 30 
#   A                     : 66 
#   Isomer                :  
#   Nuclide               : 30-ZN-66 
# Reaction: 
#   EXFOR Reaction        : (30-ZN-66(N,EL),,WID,,G) 
#   Incident Energy       : 1.3076e+05 eV - 3.8042e+05 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/127/12719.x4 
#   nds                   : https://nds.iaea.org/EXFOR/12719
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.3076E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   9.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.3123E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.3184E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.3263E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   8.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.3338E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   6.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.3471E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.2000E+01          NAN          NAN          NAN          NAN          NAN
   1.3522E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   9.5000E+01          NAN          NAN          NAN          NAN          NAN
   1.3609E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.3622E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.3634E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.3932E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   8.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.4000E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.4151E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.4424E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   6.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.4438E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.4446E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   6.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.4720E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   8.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.4782E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   8.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.4820E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.5000E+01          NAN          NAN          NAN          NAN          NAN
   1.5082E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.5429E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   6.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.5723E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.5975E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.7000E+01          NAN          NAN          NAN          NAN          NAN
   1.6147E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.2000E+01          NAN          NAN          NAN          NAN          NAN
   1.6690E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.6718E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.6000E+01          NAN          NAN          NAN          NAN          NAN
   1.6784E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.8000E+01          NAN          NAN          NAN          NAN          NAN
   1.6822E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.5000E+01          NAN          NAN          NAN          NAN          NAN
   1.6858E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.9000E+01          NAN          NAN          NAN          NAN          NAN
   1.6889E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E+01          NAN          NAN          NAN          NAN          NAN
   1.7004E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.5000E+01          NAN          NAN          NAN          NAN          NAN
   1.7184E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.0000E+01          NAN          NAN          NAN          NAN          NAN
   1.7463E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   7.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.7493E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.7552E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   8.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.7693E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E+01          NAN          NAN          NAN          NAN          NAN
   1.7960E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.8000E+01          NAN          NAN          NAN          NAN          NAN
   1.7978E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.4000E+01          NAN          NAN          NAN          NAN          NAN
   1.8006E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.9000E+01          NAN          NAN          NAN          NAN          NAN
   1.8115E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.0000E+01          NAN          NAN          NAN          NAN          NAN
   1.8171E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   7.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.8356E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   7.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.8540E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.8000E+01          NAN          NAN          NAN          NAN          NAN
   1.8561E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.0100E+02          NAN          NAN          NAN          NAN          NAN
   1.8614E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.8636E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   7.0000E+00          NAN          NAN          NAN          NAN          NAN
   1.8646E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.2000E+01          NAN          NAN          NAN          NAN          NAN
   1.8901E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.8000E+01          NAN          NAN          NAN          NAN          NAN
   1.9194E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.0000E+01          NAN          NAN          NAN          NAN          NAN
   1.9360E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.8000E+01          NAN          NAN          NAN          NAN          NAN
   1.9650E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   8.0000E+00          NAN          NAN          NAN          NAN          NAN
   2.0023E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.6000E+01          NAN          NAN          NAN          NAN          NAN
   2.0114E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.1500E+02          NAN          NAN          NAN          NAN          NAN
   2.0317E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   8.0000E+00          NAN          NAN          NAN          NAN          NAN
   2.0421E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   7.5000E+01          NAN          NAN          NAN          NAN          NAN
   2.0464E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.7000E+01          NAN          NAN          NAN          NAN          NAN
   2.0825E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.2000E+01          NAN          NAN          NAN          NAN          NAN
   2.0910E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.3000E+01          NAN          NAN          NAN          NAN          NAN
   2.1366E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.8000E+01          NAN          NAN          NAN          NAN          NAN
   2.1694E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.6000E+01          NAN          NAN          NAN          NAN          NAN
   2.1770E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   9.4000E+01          NAN          NAN          NAN          NAN          NAN
   2.1912E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E+01          NAN          NAN          NAN          NAN          NAN
   2.2163E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   8.0000E+00          NAN          NAN          NAN          NAN          NAN
   2.2194E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   7.0000E+00          NAN          NAN          NAN          NAN          NAN
   2.2588E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.0000E+00          NAN          NAN          NAN          NAN          NAN
   2.2669E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.2000E+01          NAN          NAN          NAN          NAN          NAN
   2.2715E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.3000E+01          NAN          NAN          NAN          NAN          NAN
   2.2817E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.9000E+01          NAN          NAN          NAN          NAN          NAN
   2.2867E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.8000E+01          NAN          NAN          NAN          NAN          NAN
   2.2918E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.4000E+01          NAN          NAN          NAN          NAN          NAN
   2.3160E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.3000E+01          NAN          NAN          NAN          NAN          NAN
   2.3275E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E+01          NAN          NAN          NAN          NAN          NAN
   2.3495E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.9000E+01          NAN          NAN          NAN          NAN          NAN
   2.3654E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.8000E+01          NAN          NAN          NAN          NAN          NAN
   2.3705E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   7.7000E+01          NAN          NAN          NAN          NAN          NAN
   2.3730E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   8.6000E+01          NAN          NAN          NAN          NAN          NAN
   2.3808E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.9000E+01          NAN          NAN          NAN          NAN          NAN
   2.4005E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.7000E+01          NAN          NAN          NAN          NAN          NAN
   2.4044E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.4400E+02          NAN          NAN          NAN          NAN          NAN
   2.4136E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.4000E+01          NAN          NAN          NAN          NAN          NAN
   2.4306E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.0000E+01          NAN          NAN          NAN          NAN          NAN
   2.4397E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.4000E+01          NAN          NAN          NAN          NAN          NAN
   2.4482E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.3000E+01          NAN          NAN          NAN          NAN          NAN
   2.4512E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.6000E+01          NAN          NAN          NAN          NAN          NAN
   2.4672E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.0000E+01          NAN          NAN          NAN          NAN          NAN
   2.5049E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   7.3000E+01          NAN          NAN          NAN          NAN          NAN
   2.5528E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.5500E+02          NAN          NAN          NAN          NAN          NAN
   2.5580E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.0900E+02          NAN          NAN          NAN          NAN          NAN
   2.5793E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.9000E+01          NAN          NAN          NAN          NAN          NAN
   2.6292E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.0000E+01          NAN          NAN          NAN          NAN          NAN
   2.6318E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.2000E+01          NAN          NAN          NAN          NAN          NAN
   2.6435E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   6.0000E+01          NAN          NAN          NAN          NAN          NAN
   2.6560E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.5000E+01          NAN          NAN          NAN          NAN          NAN
   2.6606E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   9.8000E+01          NAN          NAN          NAN          NAN          NAN
   2.6720E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.6000E+01          NAN          NAN          NAN          NAN          NAN
   2.6858E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.7000E+01          NAN          NAN          NAN          NAN          NAN
   2.6885E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.9000E+01          NAN          NAN          NAN          NAN          NAN
   2.7198E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.4000E+01          NAN          NAN          NAN          NAN          NAN
   2.7268E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.0000E+00          NAN          NAN          NAN          NAN          NAN
   2.7360E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.5000E+01          NAN          NAN          NAN          NAN          NAN
   2.7610E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.1000E+01          NAN          NAN          NAN          NAN          NAN
   2.7831E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   7.3000E+01          NAN          NAN          NAN          NAN          NAN
   2.8153E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.2000E+01          NAN          NAN          NAN          NAN          NAN
   2.8520E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.2000E+01          NAN          NAN          NAN          NAN          NAN
   2.8658E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.4000E+01          NAN          NAN          NAN          NAN          NAN
