# Header: 
#   Title                 : 30-ZN-67 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 13739-007-2 
#   First Author          : H.M.Agrawal 
#   Institute             : (1USAALB): State University of New York, Albany, NY 
#   Reference             : (J,JP/G,18,1069,1992) 
#   Year                  : 1992 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 30 
#   A                     : 67 
#   Isomer                :  
#   Nuclide               : 30-ZN-67 
# Reaction: 
#   EXFOR Reaction        : (30-ZN-67(N,G),,WID/STR) 
#   Incident Energy       : 2.6910e+03 eV - 2.5227e+04 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/137/13739.x4 
#   nds                   : https://nds.iaea.org/EXFOR/13739
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.6910E+03          NAN        NAN        1.0          NAN          NAN   3.2900E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8820E+03          NAN        NAN        1.0          NAN          NAN   4.5400E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.0140E+03          NAN        NAN        1.0          NAN          NAN   1.3690E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2010E+03          NAN        NAN        1.0          NAN          NAN   1.9400E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3170E+03          NAN        NAN        1.0          NAN          NAN   2.2600E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4980E+03          NAN        NAN        1.0          NAN          NAN   1.0490E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5280E+03          NAN        NAN        1.0          NAN          NAN   6.7000E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1490E+03          NAN        NAN        1.0          NAN          NAN   8.2800E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.2190E+03          NAN        NAN        1.0          NAN          NAN   2.9500E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3550E+03          NAN        NAN        1.0          NAN          NAN   2.3970E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3880E+03          NAN        NAN        1.0          NAN          NAN   1.5500E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
