# Header: 
#   Title                 : 30-ZN-67 Resonance Parameter: WID,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 13739-004-2 
#   First Author          : H.M.Agrawal 
#   Institute             : (1USAALB): State University of New York, Albany, NY 
#   Reference             : (J,JP/G,18,1069,1992) 
#   Year                  : 1992 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 30 
#   A                     : 67 
#   Isomer                :  
#   Nuclide               : 30-ZN-67 
# Reaction: 
#   EXFOR Reaction        : (30-ZN-67(N,EL),,WID,,G) 
#   Incident Energy       : 2.2310e+02 eV - 2.5400e+04 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/137/13739.x4 
#   nds                   : https://nds.iaea.org/EXFOR/13739
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.2310E+02          NAN        3.0        0.0          NAN          NAN          NAN          NAN   4.5000E-01          NAN          NAN          NAN          NAN          NAN
   5.8700E+02          NAN        3.0        0.0          NAN          NAN          NAN          NAN   2.7000E-01          NAN          NAN          NAN          NAN          NAN
   1.5462E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   4.2000E+00          NAN          NAN          NAN          NAN          NAN
   2.1253E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   4.9000E+00          NAN          NAN          NAN          NAN          NAN
   2.4690E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   6.1000E+00          NAN          NAN          NAN          NAN          NAN
   3.4240E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   3.0000E+00          NAN          NAN          NAN          NAN          NAN
   3.7890E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   1.8500E+01          NAN          NAN          NAN          NAN          NAN
   4.9915E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   1.0000E+00          NAN          NAN          NAN          NAN          NAN
   5.2305E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   1.0000E+00          NAN          NAN          NAN          NAN          NAN
   6.3210E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   4.1000E+01          NAN          NAN          NAN          NAN          NAN
   7.0133E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   2.5000E+00          NAN          NAN          NAN          NAN          NAN
   7.4990E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   3.3000E+00          NAN          NAN          NAN          NAN          NAN
   7.7845E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   2.7000E+00          NAN          NAN          NAN          NAN          NAN
   8.2510E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   3.8000E+00          NAN          NAN          NAN          NAN          NAN
   9.3555E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   2.8000E+00          NAN          NAN          NAN          NAN          NAN
   1.0420E+04          NAN        3.0        0.0          NAN          NAN          NAN          NAN   2.7000E-01          NAN          NAN          NAN          NAN          NAN
   1.1891E+04          NAN        3.0        0.0          NAN          NAN          NAN          NAN   1.5000E+00          NAN          NAN          NAN          NAN          NAN
   1.2303E+04          NAN        3.0        0.0          NAN          NAN          NAN          NAN   7.0000E-01          NAN          NAN          NAN          NAN          NAN
   1.2990E+04          NAN        3.0        0.0          NAN          NAN          NAN          NAN   8.2000E-01          NAN          NAN          NAN          NAN          NAN
