# Header: 
#   Title                 : 40-ZR-90 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : R.E.Toohey 
#   Institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
#   Reference             : (J,PR/C,9,346,1974) 
#   Year                  : 1974 
#   Facility              : None 
# Target: 
#   Z                     : 40 
#   A                     : 90 
#   Nuclide               : 40-ZR-90 
# Reaction: 
#   entry-subent-pointer  :{34: '10878-002-4', 35: '10878-002-4', 36: '10878-002-4', 37: '10878-002-4', 38: '10878-002-4', 39: '10878-002-4', 40: '10878-002-4', 41: '10878-002-4', 42: '10878-002-4', 43: '10878-002-4', 44: '10878-002-4', 45: '10878-002-4', 46: '10878-002-4', 47: '10878-002-4', 48: '10878-002-4', 49: '10878-002-4', 50: '10878-002-4', 51: '10878-002-4', 52: '10878-002-4', 53: '10878-002-4', 54: '10878-002-4', 55: '10878-002-4', 56: '10878-002-4', 57: '10878-002-4', 58: '10878-002-4', 59: '10878-002-4', 60: '10878-002-4', 61: '10878-002-4', 62: '10878-002-4', 63: '10878-002-4', 64: '10878-002-4', 65: '10878-002-4', 66: '10878-002-4', 67: '10878-002-4', 68: '10878-002-4', 69: '10878-002-4', 70: '10878-002-4', 71: '10878-002-4', 72: '10878-002-4', 73: '10878-002-4'} 
#   EXFOR reaction        :{34: '(40-ZR-90(N,G),,WID)', 35: '(40-ZR-90(N,G),,WID)', 36: '(40-ZR-90(N,G),,WID)', 37: '(40-ZR-90(N,G),,WID)', 38: '(40-ZR-90(N,G),,WID)', 39: '(40-ZR-90(N,G),,WID)', 40: '(40-ZR-90(N,G),,WID)', 41: '(40-ZR-90(N,G),,WID)', 42: '(40-ZR-90(N,G),,WID)', 43: '(40-ZR-90(N,G),,WID)', 44: '(40-ZR-90(N,G),,WID)', 45: '(40-ZR-90(N,G),,WID)', 46: '(40-ZR-90(N,G),,WID)', 47: '(40-ZR-90(N,G),,WID)', 48: '(40-ZR-90(N,G),,WID)', 49: '(40-ZR-90(N,G),,WID)', 50: '(40-ZR-90(N,G),,WID)', 51: '(40-ZR-90(N,G),,WID)', 52: '(40-ZR-90(N,G),,WID)', 53: '(40-ZR-90(N,G),,WID)', 54: '(40-ZR-90(N,G),,WID)', 55: '(40-ZR-90(N,G),,WID)', 56: '(40-ZR-90(N,G),,WID)', 57: '(40-ZR-90(N,G),,WID)', 58: '(40-ZR-90(N,G),,WID)', 59: '(40-ZR-90(N,G),,WID)', 60: '(40-ZR-90(N,G),,WID)', 61: '(40-ZR-90(N,G),,WID)', 62: '(40-ZR-90(N,G),,WID)', 63: '(40-ZR-90(N,G),,WID)', 64: '(40-ZR-90(N,G),,WID)', 65: '(40-ZR-90(N,G),,WID)', 66: '(40-ZR-90(N,G),,WID)', 67: '(40-ZR-90(N,G),,WID)', 68: '(40-ZR-90(N,G),,WID)', 69: '(40-ZR-90(N,G),,WID)', 70: '(40-ZR-90(N,G),,WID)', 71: '(40-ZR-90(N,G),,WID)', 72: '(40-ZR-90(N,G),,WID)', 73: '(40-ZR-90(N,G),,WID)'} 
#   incident energy       : 7.2300e+03 eV - 2.2040e+05 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/108/10878.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10878
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        7.2300E+03               NAN               NAN               NAN        1.0000E-01        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6460E+04               NAN               NAN               NAN        1.2000E-01        2.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.8700E+04               NAN               NAN               NAN        2.0000E-02        4.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.5200E+04               NAN               NAN               NAN        6.0000E-02        1.2000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.9300E+04               NAN               NAN               NAN        5.0000E-02        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.0500E+04               NAN               NAN               NAN        2.1000E-01        4.2000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.1300E+04               NAN               NAN               NAN        6.3000E-01        1.2600E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.4700E+04               NAN               NAN               NAN        5.0000E-02        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.1700E+04               NAN               NAN               NAN        5.0000E-02        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.5100E+04               NAN               NAN               NAN        1.6000E-01        3.2000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.8400E+04               NAN               NAN               NAN        1.1000E-01        2.2000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.2800E+04               NAN               NAN               NAN        2.0000E-02        4.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.5800E+04               NAN               NAN               NAN        4.0000E-02        8.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.2200E+04               NAN               NAN               NAN        7.0000E-02        1.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.7100E+04               NAN               NAN               NAN        7.0000E-02        1.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.2500E+04               NAN               NAN               NAN        5.0000E-02        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.5700E+04               NAN               NAN               NAN        3.0000E-02        6.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.7200E+04               NAN               NAN               NAN        1.0000E-01        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.0040E+05               NAN               NAN               NAN        3.0000E-02        6.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.0510E+05               NAN               NAN               NAN        2.8000E-01        5.6000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.0900E+05               NAN               NAN               NAN        4.0000E-02        8.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.1000E+05               NAN               NAN               NAN        3.3000E-01        6.6000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.1960E+05               NAN               NAN               NAN        5.0000E-02        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.2630E+05               NAN               NAN               NAN        5.0000E-02        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.3000E+05               NAN               NAN               NAN        2.3000E-01        4.6000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.3370E+05               NAN               NAN               NAN        3.3000E-01        6.6000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
