# Header: 
#   Title                 : 40-ZR-90 Resonance Parameter: WID/RED 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 30329-002-7 
#   First Author          : J.W.Boldeman 
#   Institute             : (3AULAUA): Australian Nuclear Sci.and Techn.Org., Lucas Heights,NSW 
#   Reference             : (J,NP/A,246,1,1975) 
#   Year                  : 1975 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 40 
#   A                     : 90 
#   Isomer                :  
#   Nuclide               : 40-ZR-90 
# Reaction: 
#   EXFOR Reaction        : (40-ZR-90(N,EL),,WID/RED) 
#   Incident Energy       : 3.8640e+03 eV - 1.9290e+05 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/303/30329.x4 
#   nds                   : https://nds.iaea.org/EXFOR/30329
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   3.8640E+03          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.6000E-01          NAN          NAN          NAN          NAN          NAN
   4.0140E+03          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.1200E+00          NAN          NAN          NAN          NAN          NAN
   7.2710E+03          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.6900E+00          NAN          NAN          NAN          NAN          NAN
   8.8690E+03          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.1200E+00          NAN          NAN          NAN          NAN          NAN
   9.6150E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2215E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3392E+04          NAN        NAN        0.0          NAN          NAN          NAN          NAN   7.3000E-01          NAN          NAN          NAN          NAN          NAN
   1.6919E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.5000E-01          NAN          NAN          NAN          NAN          NAN
   1.6965E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7350E+04          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.4400E+00          NAN          NAN          NAN          NAN          NAN
   1.9123E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   9.9000E-01          NAN          NAN          NAN          NAN          NAN
   1.9738E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.7400E+00          NAN          NAN          NAN          NAN          NAN
   2.6520E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.9000E-01          NAN          NAN          NAN          NAN          NAN
   2.6570E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.0500E+00          NAN          NAN          NAN          NAN          NAN
   2.8885E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.5000E-01          NAN          NAN          NAN          NAN          NAN
   3.5394E+04          NAN        NAN        0.0          NAN          NAN          NAN          NAN   9.6000E-02          NAN          NAN          NAN          NAN          NAN
   3.9570E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   9.0000E-02          NAN          NAN          NAN          NAN          NAN
   4.0350E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.7300E+00          NAN          NAN          NAN          NAN          NAN
   4.1420E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.8700E+01          NAN          NAN          NAN          NAN          NAN
   4.2350E+04          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.2600E+00          NAN          NAN          NAN          NAN          NAN
   4.4880E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.2000E+00          NAN          NAN          NAN          NAN          NAN
   5.3450E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.3770E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.4350E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.4500E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.5900E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.8700E+00          NAN          NAN          NAN          NAN          NAN
   5.6700E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.6800E+00          NAN          NAN          NAN          NAN          NAN
   5.7910E+04          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.3500E+00          NAN          NAN          NAN          NAN          NAN
   6.1990E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.0000E-02          NAN          NAN          NAN          NAN          NAN
   6.2450E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.5100E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.4600E+00          NAN          NAN          NAN          NAN          NAN
   6.5350E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.5200E+00          NAN          NAN          NAN          NAN          NAN
   6.8680E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.7600E+00          NAN          NAN          NAN          NAN          NAN
   7.0800E+04          NAN        NAN        0.0          NAN          NAN          NAN          NAN   5.5000E-01          NAN          NAN          NAN          NAN          NAN
   7.2600E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.6900E+00          NAN          NAN          NAN          NAN          NAN
   7.4100E+04          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.0600E+00          NAN          NAN          NAN          NAN          NAN
   7.4700E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.3000E-01          NAN          NAN          NAN          NAN          NAN
   7.5670E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.6150E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.9600E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.0440E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.1480E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.2330E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.2900E+00          NAN          NAN          NAN          NAN          NAN
   8.3330E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.4800E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.5800E+04          NAN        NAN        0.0          NAN          NAN          NAN          NAN   8.5000E-02          NAN          NAN          NAN          NAN          NAN
   8.8500E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.0450E+04          NAN        NAN        0.0          NAN          NAN          NAN          NAN   4.8000E-02          NAN          NAN          NAN          NAN          NAN
   9.3000E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.8000E-02          NAN          NAN          NAN          NAN          NAN
   9.4550E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.6000E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.7000E-01          NAN          NAN          NAN          NAN          NAN
   9.6700E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.7500E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.8000E-01          NAN          NAN          NAN          NAN          NAN
   9.9350E+04          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.3000E-02          NAN          NAN          NAN          NAN          NAN
   1.0060E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0434E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.3600E+00          NAN          NAN          NAN          NAN          NAN
   1.0530E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.4000E+00          NAN          NAN          NAN          NAN          NAN
   1.0830E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0930E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   9.3000E-01          NAN          NAN          NAN          NAN          NAN
   1.1040E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.2100E+00          NAN          NAN          NAN          NAN          NAN
   1.1160E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.4400E+00          NAN          NAN          NAN          NAN          NAN
   1.1250E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1870E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2005E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   9.9000E-01          NAN          NAN          NAN          NAN          NAN
   1.2160E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2230E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2260E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2440E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.1000E-01          NAN          NAN          NAN          NAN          NAN
   1.2750E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.2800E+00          NAN          NAN          NAN          NAN          NAN
   1.2810E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2970E+05          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.5400E-01          NAN          NAN          NAN          NAN          NAN
   1.3030E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3090E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3190E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   5.1300E+00          NAN          NAN          NAN          NAN          NAN
   1.3370E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3430E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.9600E+00          NAN          NAN          NAN          NAN          NAN
   1.3960E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.1000E-01          NAN          NAN          NAN          NAN          NAN
   1.4480E+05          NAN        NAN        1.0          NAN          NAN          NAN          NAN   9.1000E-01          NAN          NAN          NAN          NAN          NAN
