# Header: 
#   Title                 : 40-ZR-91 Resonance Parameter: WID,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 20859-002-2 
#   First Author          : A.Brusegan 
#   Institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
#   Reference             : (C,78HARWELL,,706,197809) 
#   Year                  : 1978 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 40 
#   A                     : 91 
#   Isomer                :  
#   Nuclide               : 40-ZR-91 
# Reaction: 
#   EXFOR Reaction        : (40-ZR-91(N,EL),,WID,,2G) 
#   Incident Energy       : 1.5940e+02 eV - 1.8131e+04 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/208/20859.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20859
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.5940E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.8000E-04   3.0000E-05          NAN          NAN          NAN          NAN
   1.8173E+02          NAN        4.0        1.0          NAN          NAN          NAN          NAN   1.0040E-02   1.0000E-04          NAN          NAN          NAN          NAN
   2.4010E+02          NAN        2.0        1.0          NAN          NAN          NAN          NAN   3.6000E-03   1.0000E-04          NAN          NAN          NAN          NAN
   2.9241E+02          NAN        3.0        0.0          NAN          NAN          NAN          NAN   7.1470E-01   7.0000E-03          NAN          NAN          NAN          NAN
   4.4944E+02          NAN        3.0        1.0          NAN          NAN          NAN          NAN   4.8000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   6.8143E+02          NAN        3.0        0.0          NAN          NAN          NAN          NAN   9.6200E-01   2.0000E-02          NAN          NAN          NAN          NAN
   8.9267E+02          NAN        4.0        1.0          NAN          NAN          NAN          NAN   3.8000E-02   4.0000E-03          NAN          NAN          NAN          NAN
   1.5314E+03          NAN        2.0        0.0          NAN          NAN          NAN          NAN   8.6710E+00   2.5000E-01          NAN          NAN          NAN          NAN
   1.5331E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.3600E-01   8.0000E-02          NAN          NAN          NAN          NAN
   1.9537E+03          NAN        3.0        1.0          NAN          NAN          NAN          NAN   3.6300E-01   6.0000E-03          NAN          NAN          NAN          NAN
   1.9976E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.6000E-02   4.0000E-03          NAN          NAN          NAN          NAN
   2.0123E+03          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.6700E-01   7.0000E-03          NAN          NAN          NAN          NAN
   2.3612E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.1000E-03   7.0000E-04          NAN          NAN          NAN          NAN
   2.3842E+03          NAN        3.0        1.0          NAN          NAN          NAN          NAN   1.8500E-01   7.0000E-03          NAN          NAN          NAN          NAN
   2.4752E+03          NAN        2.0        0.0          NAN          NAN          NAN          NAN   5.1530E+00   5.0000E-02          NAN          NAN          NAN          NAN
   2.7257E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   9.0150E+00   2.6000E-01          NAN          NAN          NAN          NAN
   2.7565E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.3000E-02   1.6000E-02          NAN          NAN          NAN          NAN
   2.7628E+03          NAN        NAN        1.0          NAN          NAN          NAN          NAN   4.3800E-01   2.2000E-02          NAN          NAN          NAN          NAN
   3.1577E+03          NAN        4.0        1.0          NAN          NAN          NAN          NAN   9.7800E-01   1.8000E-02          NAN          NAN          NAN          NAN
   3.6111E+03          NAN        NAN        1.0          NAN          NAN          NAN          NAN   1.6200E-01   1.1000E-02          NAN          NAN          NAN          NAN
   3.6427E+03          NAN        NAN        1.0          NAN          NAN          NAN          NAN   3.9400E-01   1.2000E-02          NAN          NAN          NAN          NAN
   3.8628E+03          NAN        3.0        0.0          NAN          NAN          NAN          NAN   1.3420E+00   1.7500E-01          NAN          NAN          NAN          NAN
