# Header: 
#   Title                 : 40-ZR-91 Resonance Parameter: WID,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 30423-002-5 
#   First Author          : A.R.De L.Musgrove 
#   Institute             : (3AULAUA): Australian Nuclear Sci.and Techn.Org., Lucas Heights,NSW 
#   Reference             : (J,AUJ,30,391,1977) 
#   Year                  : 1977 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 40 
#   A                     : 91 
#   Isomer                :  
#   Nuclide               : 40-ZR-91 
# Reaction: 
#   EXFOR Reaction        : (40-ZR-91(N,EL),,WID,,2G) 
#   Incident Energy       : 1.5940e+02 eV - 1.9791e+04 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/304/30423.x4 
#   nds                   : https://nds.iaea.org/EXFOR/30423
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.5940E+02   1.5940E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.3000E-04   5.0000E-05          NAN          NAN          NAN          NAN
   1.8180E+02   1.8180E-01        3.0        0.0          NAN          NAN          NAN          NAN   8.5100E-03          NAN          NAN          NAN          NAN          NAN
   2.4020E+02   2.4020E-01        2.0        1.0          NAN          NAN          NAN          NAN   3.3000E-03          NAN          NAN          NAN          NAN          NAN
   2.9270E+02   2.9270E-01        2.0        0.0          NAN          NAN          NAN          NAN   6.3900E-01          NAN          NAN          NAN          NAN          NAN
   4.4930E+02   4.4930E-01        2.0        1.0          NAN          NAN          NAN          NAN   4.6000E-03          NAN          NAN          NAN          NAN          NAN
   6.8080E+02   6.8080E-01        3.0        0.0          NAN          NAN          NAN          NAN   9.2600E-01          NAN          NAN          NAN          NAN          NAN
   8.9230E+02   8.9230E-01        3.0        1.0          NAN          NAN          NAN          NAN   3.3000E-02          NAN          NAN          NAN          NAN          NAN
   1.5295E+03   1.5295E+00        2.0        0.0          NAN          NAN          NAN          NAN   8.0200E+00          NAN          NAN          NAN          NAN          NAN
   1.9525E+03   1.9525E+00        3.0        1.0          NAN          NAN          NAN          NAN   3.8400E-01          NAN          NAN          NAN          NAN          NAN
   1.9967E+03   1.9967E+00        NAN        1.0          NAN          NAN          NAN          NAN   2.3000E-02   1.0000E-03          NAN          NAN          NAN          NAN
   2.0110E+03   2.0110E+00        NAN        1.0          NAN          NAN          NAN          NAN   3.7800E-01   2.0000E-02          NAN          NAN          NAN          NAN
   2.3828E+03   2.3828E+00        NAN        1.0          NAN          NAN          NAN          NAN   1.1000E-01   7.0000E-03          NAN          NAN          NAN          NAN
   2.4733E+03   2.4733E+00        2.0        0.0          NAN          NAN          NAN          NAN   4.6600E+00          NAN          NAN          NAN          NAN          NAN
   2.6800E+03   2.6800E+00        NAN        0.0          NAN          NAN          NAN          NAN   7.4000E-01   1.5000E-01          NAN          NAN          NAN          NAN
   2.7620E+03   2.7620E+00        NAN        1.0          NAN          NAN          NAN          NAN   2.1400E-01   1.0000E-01          NAN          NAN          NAN          NAN
   3.1560E+03   3.1560E+00        3.0        1.0          NAN          NAN          NAN          NAN   7.5900E-01          NAN          NAN          NAN          NAN          NAN
   3.6090E+03   3.6090E+00        NAN        1.0          NAN          NAN   3.3000E-01          NAN   1.2100E-01   7.0000E-03          NAN          NAN          NAN          NAN
   3.6400E+03   3.6400E+00        NAN        1.0          NAN          NAN   1.7200E-01          NAN   3.1200E-01   1.5000E-02          NAN          NAN          NAN          NAN
   3.8560E+03   3.8560E+00        3.0        0.0          NAN          NAN          NAN          NAN   3.1000E+00          NAN          NAN          NAN          NAN          NAN
   4.0040E+03   4.0040E+00        NAN        1.0          NAN          NAN   2.6000E-01          NAN   2.4500E-01   1.5000E-02          NAN          NAN          NAN          NAN
