# Header: 
#   Title                 : 40-ZR-92 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : J.W.Boldeman 
#   Institute             : (3AULAUA): Australian Nuclear Sci.and Techn.Org., Lucas Heights,NSW 
#   Reference             : (J,NP/A,269,31,1976) 
#   Year                  : 1976 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 40 
#   A                     : 92 
#   Nuclide               : 40-ZR-92 
# Reaction: 
#   entry-subent-pointer  :{41: '30358-002-7', 42: '30358-002-7', 43: '30358-002-7', 44: '30358-002-7', 45: '30358-002-7', 46: '30358-002-7', 47: '30358-002-7', 48: '30358-002-7', 49: '30358-002-7', 50: '30358-002-7', 51: '30358-002-7', 52: '30358-002-7', 53: '30358-002-7', 54: '30358-002-7', 55: '30358-002-7', 56: '30358-002-7', 57: '30358-002-7', 58: '30358-002-7', 59: '30358-002-7', 60: '30358-002-7', 61: '30358-002-7', 62: '30358-002-7', 63: '30358-002-7', 64: '30358-002-7', 65: '30358-002-7', 66: '30358-002-7', 67: '30358-002-7', 68: '30358-002-7', 69: '30358-002-7', 70: '30358-002-7', 71: '30358-002-7', 72: '30358-002-7', 73: '30358-002-7', 74: '30358-002-7', 75: '30358-002-7', 76: '30358-002-7', 77: '30358-002-7', 78: '30358-002-7', 79: '30358-002-7', 80: '30358-002-7', 81: '30358-002-7', 82: '30358-002-7', 83: '30358-002-7', 84: '30358-002-7', 85: '30358-002-7', 86: '30358-002-7', 87: '30358-002-7', 88: '30358-002-7', 89: '30358-002-7', 90: '30358-002-7', 91: '30358-002-7', 92: '30358-002-7', 93: '30358-002-7', 94: '30358-002-7', 95: '30358-002-7', 96: '30358-002-7', 97: '30358-002-7', 98: '30358-002-7', 99: '30358-002-7', 100: '30358-002-7', 101: '30358-002-7', 102: '30358-002-7', 103: '30358-002-7', 104: '30358-002-7', 105: '30358-002-7', 106: '30358-002-7', 107: '30358-002-7', 108: '30358-002-7', 109: '30358-002-7', 110: '30358-002-7', 111: '30358-002-7', 112: '30358-002-7', 113: '30358-002-7', 114: '30358-002-7', 115: '30358-002-7', 116: '30358-002-7', 117: '30358-002-7', 118: '30358-002-7', 119: '30358-002-7', 120: '30358-002-7', 121: '30358-002-7', 122: '30358-002-7', 123: '30358-002-7', 124: '30358-002-7', 125: '30358-002-7', 126: '30358-002-7', 127: '30358-002-7', 128: '30358-002-7', 129: '30358-002-7', 130: '30358-002-7', 131: '30358-002-7', 132: '30358-002-7', 133: '30358-002-7', 134: '30358-002-7', 135: '30358-002-7', 136: '30358-002-7', 137: '30358-002-7', 138: '30358-002-7', 139: '30358-002-7', 140: '30358-002-7'} 
#   EXFOR reaction        :{41: '(40-ZR-92(N,G),,WID)', 42: '(40-ZR-92(N,G),,WID)', 43: '(40-ZR-92(N,G),,WID)', 44: '(40-ZR-92(N,G),,WID)', 45: '(40-ZR-92(N,G),,WID)', 46: '(40-ZR-92(N,G),,WID)', 47: '(40-ZR-92(N,G),,WID)', 48: '(40-ZR-92(N,G),,WID)', 49: '(40-ZR-92(N,G),,WID)', 50: '(40-ZR-92(N,G),,WID)', 51: '(40-ZR-92(N,G),,WID)', 52: '(40-ZR-92(N,G),,WID)', 53: '(40-ZR-92(N,G),,WID)', 54: '(40-ZR-92(N,G),,WID)', 55: '(40-ZR-92(N,G),,WID)', 56: '(40-ZR-92(N,G),,WID)', 57: '(40-ZR-92(N,G),,WID)', 58: '(40-ZR-92(N,G),,WID)', 59: '(40-ZR-92(N,G),,WID)', 60: '(40-ZR-92(N,G),,WID)', 61: '(40-ZR-92(N,G),,WID)', 62: '(40-ZR-92(N,G),,WID)', 63: '(40-ZR-92(N,G),,WID)', 64: '(40-ZR-92(N,G),,WID)', 65: '(40-ZR-92(N,G),,WID)', 66: '(40-ZR-92(N,G),,WID)', 67: '(40-ZR-92(N,G),,WID)', 68: '(40-ZR-92(N,G),,WID)', 69: '(40-ZR-92(N,G),,WID)', 70: '(40-ZR-92(N,G),,WID)', 71: '(40-ZR-92(N,G),,WID)', 72: '(40-ZR-92(N,G),,WID)', 73: '(40-ZR-92(N,G),,WID)', 74: '(40-ZR-92(N,G),,WID)', 75: '(40-ZR-92(N,G),,WID)', 76: '(40-ZR-92(N,G),,WID)', 77: '(40-ZR-92(N,G),,WID)', 78: '(40-ZR-92(N,G),,WID)', 79: '(40-ZR-92(N,G),,WID)', 80: '(40-ZR-92(N,G),,WID)', 81: '(40-ZR-92(N,G),,WID)', 82: '(40-ZR-92(N,G),,WID)', 83: '(40-ZR-92(N,G),,WID)', 84: '(40-ZR-92(N,G),,WID)', 85: '(40-ZR-92(N,G),,WID)', 86: '(40-ZR-92(N,G),,WID)', 87: '(40-ZR-92(N,G),,WID)', 88: '(40-ZR-92(N,G),,WID)', 89: '(40-ZR-92(N,G),,WID)', 90: '(40-ZR-92(N,G),,WID)', 91: '(40-ZR-92(N,G),,WID)', 92: '(40-ZR-92(N,G),,WID)', 93: '(40-ZR-92(N,G),,WID)', 94: '(40-ZR-92(N,G),,WID)', 95: '(40-ZR-92(N,G),,WID)', 96: '(40-ZR-92(N,G),,WID)', 97: '(40-ZR-92(N,G),,WID)', 98: '(40-ZR-92(N,G),,WID)', 99: '(40-ZR-92(N,G),,WID)', 100: '(40-ZR-92(N,G),,WID)', 101: '(40-ZR-92(N,G),,WID)', 102: '(40-ZR-92(N,G),,WID)', 103: '(40-ZR-92(N,G),,WID)', 104: '(40-ZR-92(N,G),,WID)', 105: '(40-ZR-92(N,G),,WID)', 106: '(40-ZR-92(N,G),,WID)', 107: '(40-ZR-92(N,G),,WID)', 108: '(40-ZR-92(N,G),,WID)', 109: '(40-ZR-92(N,G),,WID)', 110: '(40-ZR-92(N,G),,WID)', 111: '(40-ZR-92(N,G),,WID)', 112: '(40-ZR-92(N,G),,WID)', 113: '(40-ZR-92(N,G),,WID)', 114: '(40-ZR-92(N,G),,WID)', 115: '(40-ZR-92(N,G),,WID)', 116: '(40-ZR-92(N,G),,WID)', 117: '(40-ZR-92(N,G),,WID)', 118: '(40-ZR-92(N,G),,WID)', 119: '(40-ZR-92(N,G),,WID)', 120: '(40-ZR-92(N,G),,WID)', 121: '(40-ZR-92(N,G),,WID)', 122: '(40-ZR-92(N,G),,WID)', 123: '(40-ZR-92(N,G),,WID)', 124: '(40-ZR-92(N,G),,WID)', 125: '(40-ZR-92(N,G),,WID)', 126: '(40-ZR-92(N,G),,WID)', 127: '(40-ZR-92(N,G),,WID)', 128: '(40-ZR-92(N,G),,WID)', 129: '(40-ZR-92(N,G),,WID)', 130: '(40-ZR-92(N,G),,WID)', 131: '(40-ZR-92(N,G),,WID)', 132: '(40-ZR-92(N,G),,WID)', 133: '(40-ZR-92(N,G),,WID)', 134: '(40-ZR-92(N,G),,WID)', 135: '(40-ZR-92(N,G),,WID)', 136: '(40-ZR-92(N,G),,WID)', 137: '(40-ZR-92(N,G),,WID)', 138: '(40-ZR-92(N,G),,WID)', 139: '(40-ZR-92(N,G),,WID)', 140: '(40-ZR-92(N,G),,WID)'} 
#   incident energy       : 2.0100e-03 eV - 1.2000e-01 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/303/30358.x4 
#   nds                   : https://nds.iaea.org/EXFOR/30358
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        2.0100E-03        4.0000E-06               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        5.0000E-06               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        8.0000E-06               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        9.0000E-06               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.3000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.4000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.8000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        2.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        3.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        4.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        5.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        6.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        7.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        8.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        9.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.1000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.2000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.3000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.4000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.5000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.6000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.7000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.8000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        1.9000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        2.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        2.1000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        2.2000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        2.3000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0100E-03        2.4000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        4.0000E-06               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        5.0000E-06               NAN               NAN        1.7000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        8.0000E-06               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        9.0000E-06               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.3000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.4000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.8000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        2.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        3.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        4.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        5.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        6.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        7.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        8.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        9.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.1000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.2000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.3000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.4000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.5000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.6000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.7000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.8000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        1.9000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6860E-03        2.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
