# Header: 
#   Title                 : 40-ZR-96 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : C.Coceva 
#   Institute             : (2ITYBOL): ENEA Centro Ricerche Energia di Bologna 
#   Reference             : (C,79KNOX,,319,1979) 
#   Year                  : 1979 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 40 
#   A                     : 96 
#   Nuclide               : 40-ZR-96 
# Reaction: 
#   entry-subent-pointer  :['21710-002-3' '21710-002-5'] 
#   EXFOR reaction        :['(40-ZR-96(N,EL),,WID)' '(40-ZR-96(N,G),,WID)'] 
#   incident energy       : 3.0110e+02 eV - 3.6666e+04 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/217/21710.x4 
#   nds                   : https://nds.iaea.org/EXFOR/21710
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 3.0110E+02        NAN        NAN        1.0        NAN        NAN 2.5800E-01 1.5000E-02 2.1500E-01        NAN        NAN        NAN
 3.8180E+03        NAN        NAN        1.0        NAN        NAN        NAN        NAN 3.9300E+00        NAN        NAN        NAN
 4.1330E+03        NAN        NAN        2.0        NAN        NAN        NAN        NAN 7.4500E+00        NAN        NAN        NAN
 5.4430E+03        NAN        NAN        1.0        NAN        NAN        NAN        NAN 2.5300E+01        NAN        NAN        NAN
 5.9710E+03        NAN        NAN        2.0        NAN        NAN        NAN        NAN 5.8000E+00        NAN        NAN        NAN
 9.0040E+03        NAN        NAN        1.0        NAN        NAN        NAN        NAN 9.9000E+00        NAN        NAN        NAN
 1.3278E+04        NAN        NAN        1.0        NAN        NAN        NAN        NAN 6.0000E+00        NAN        NAN        NAN
 1.5138E+04        NAN        NAN        1.0        NAN        NAN        NAN        NAN 9.2000E+00        NAN        NAN        NAN
 1.5419E+04        NAN        NAN        1.0        NAN        NAN        NAN        NAN 6.6100E+01        NAN        NAN        NAN
 1.7779E+04        NAN        NAN        1.0        NAN        NAN        NAN        NAN 1.6100E+01        NAN        NAN        NAN
 2.4687E+04        NAN        NAN        1.0        NAN        NAN        NAN        NAN 1.3600E+01        NAN        NAN        NAN
 2.9830E+04        NAN        NAN        1.0        NAN        NAN        NAN        NAN 2.9200E+02        NAN        NAN        NAN
 3.5177E+04        NAN        NAN        1.0        NAN        NAN        NAN        NAN 6.7300E+01        NAN        NAN        NAN
 3.5880E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6666E+04        NAN        NAN        2.0        NAN        NAN        NAN        NAN 7.0500E+01        NAN        NAN        NAN
