# Header: 
#   Title                 : 24-CR-54 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : J.D.Moses 
#   Institute             : (1USATNL): Triangle Universities Nuclear Laboratory , Durham, NC 
#   Reference             : (J,NP/A,168,406,1971) 
#   Year                  : 1971 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 24 
#   A                     : 54 
#   Nuclide               : 24-CR-54 
# Reaction: 
#   entry-subent-pointer  :{0: 'C2705-004-2', 1: 'C2705-004-2', 2: 'C2705-004-2', 3: 'C2705-004-2', 4: 'C2705-004-2', 5: 'C2705-004-2', 6: 'C2705-004-2', 7: 'C2705-004-2', 8: 'C2705-004-2', 9: 'C2705-004-2', 10: 'C2705-004-2', 11: 'C2705-004-2'} 
#   EXFOR reaction        :{0: '(24-CR-54(P,EL),,WID)', 1: '(24-CR-54(P,EL),,WID)', 2: '(24-CR-54(P,EL),,WID)', 3: '(24-CR-54(P,EL),,WID)', 4: '(24-CR-54(P,EL),,WID)', 5: '(24-CR-54(P,EL),,WID)', 6: '(24-CR-54(P,EL),,WID)', 7: '(24-CR-54(P,EL),,WID)', 8: '(24-CR-54(P,EL),,WID)', 9: '(24-CR-54(P,EL),,WID)', 10: '(24-CR-54(P,EL),,WID)', 11: '(24-CR-54(P,EL),,WID)'} 
#   incident energy       : 2.4228e+06 eV - 2.6622e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C27/C2705.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C2705
#
#        E_in(eV)          dE_in(eV)    data(P,TOT)(eV)       ddata(P,TOT)       data(P,G)         ddata(P,G)        data(P,EL)       ddata(P,EL)        data(P,F)        ddata(P,F)         data(P,A)        ddata(P,A)            spin_j        momentum_l
        2.4228E+06               NAN               NAN               NAN               NAN               NAN        2.0000E+04        1.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN
        2.5921E+06               NAN               NAN               NAN               NAN               NAN        3.0000E+04        1.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN
        2.5971E+06               NAN               NAN               NAN               NAN               NAN        1.0000E+04        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN
        2.5981E+06               NAN               NAN               NAN               NAN               NAN        4.0000E+04        1.5000E+04               NAN               NAN               NAN               NAN               NAN               NAN
        2.5999E+06               NAN               NAN               NAN               NAN               NAN        3.0000E+04        1.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN
        2.6038E+06               NAN               NAN               NAN               NAN               NAN        3.0000E+04        1.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN
        2.6082E+06               NAN               NAN               NAN               NAN               NAN        8.0000E+04        2.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN
        2.6086E+06               NAN               NAN               NAN               NAN               NAN        2.2500E+05        5.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN
        2.6115E+06               NAN               NAN               NAN               NAN               NAN        1.2500E+05        3.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN
        2.6184E+06               NAN               NAN               NAN               NAN               NAN        1.0000E+04        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN
        2.6425E+06               NAN               NAN               NAN               NAN               NAN        2.0000E+04        1.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN
        2.6622E+06               NAN               NAN               NAN               NAN               NAN        1.0000E+04        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN
