# Header: 
#   Title                 : 32-GE-70 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : C.R.Ramaswamy 
#   Institute             : (3INDIND): India 
#   Reference             : (J,PRM,12,653,1979) 
#   Year                  : 1979 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 32 
#   A                     : 70 
#   Nuclide               : 32-GE-70 
# Reaction: 
#   entry-subent-pointer  :{0: 'D6246-012-2', 1: 'D6246-012-2', 2: 'D6246-012-2', 3: 'D6246-012-2', 4: 'D6246-012-2', 5: 'D6246-012-2', 6: 'D6246-012-2', 7: 'D6246-012-2', 8: 'D6246-012-2', 9: 'D6246-012-2', 10: 'D6246-012-2', 11: 'D6246-012-2', 12: 'D6246-012-2'} 
#   EXFOR reaction        :{0: '(32-GE-70(P,TOT),,WID)', 1: '(32-GE-70(P,TOT),,WID)', 2: '(32-GE-70(P,TOT),,WID)', 3: '(32-GE-70(P,TOT),,WID)', 4: '(32-GE-70(P,TOT),,WID)', 5: '(32-GE-70(P,TOT),,WID)', 6: '(32-GE-70(P,TOT),,WID)', 7: '(32-GE-70(P,TOT),,WID)', 8: '(32-GE-70(P,TOT),,WID)', 9: '(32-GE-70(P,TOT),,WID)', 10: '(32-GE-70(P,TOT),,WID)', 11: '(32-GE-70(P,TOT),,WID)', 12: '(32-GE-70(P,TOT),,WID)'} 
#   incident energy       : 3.6310e+06 eV - 5.0550e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D62/D6246.x4 
#   nds                   : https://nds.iaea.org/EXFOR/D6246
#
#        E_in(eV)          dE_in(eV)    data(P,TOT)(eV)       ddata(P,TOT)       data(P,G)         ddata(P,G)        data(P,EL)       ddata(P,EL)        data(P,F)        ddata(P,F)         data(P,A)        ddata(P,A)            spin_j        momentum_l
        3.6310E+06               NAN        8.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0
        3.8150E+06               NAN        7.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.5               0.0
        3.9280E+06               NAN        9.5000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0
        4.0800E+06               NAN        9.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.5               0.0
        4.1180E+06               NAN        9.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.5               0.0
        4.1310E+06               NAN        3.5000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.5               0.0
        4.1370E+06               NAN        1.4000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.5               0.0
        4.1760E+06               NAN        1.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.5               0.0
        4.3530E+06               NAN        1.7000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.5               0.0
        4.4920E+06               NAN        1.2000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.5               0.0
        4.6050E+06               NAN        1.2000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.5               0.0
        5.0550E+06               NAN        6.5000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
