# Header: 
#   Title                 : 32-GE-70 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : C.R.Ramaswamy 
#   Institute             : (3INDIND): India 
#   Reference             : (J,PRM,12,653,1979) 
#   Year                  : 1979 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 32 
#   A                     : 70 
#   Nuclide               : 32-GE-70 
# Reaction: 
#   entry-subent-pointer  :['D6246-012-2'] 
#   EXFOR reaction        :['(32-GE-70(P,TOT),,WID)'] 
#   incident energy       : 3.6310e+06 eV - 5.0550e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D62/D6246.x4 
#   nds                   : https://nds.iaea.org/EXFOR/D6246
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   3.6310E+06          NAN        NAN        1.0   8.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8150E+06          NAN        0.5        0.0   7.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9280E+06          NAN        NAN        1.0   9.5000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.0800E+06          NAN        0.5        0.0   9.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1180E+06          NAN        0.5        0.0   9.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1310E+06          NAN        0.5        0.0   3.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1370E+06          NAN        0.5        0.0   1.4000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1760E+06          NAN        0.5        0.0   1.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3530E+06          NAN        0.5        0.0   1.7000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.4920E+06          NAN        0.5        0.0   1.2000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.6050E+06          NAN        0.5        0.0   1.2000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.0550E+06          NAN        NAN        0.0   6.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
