# Header: 
#   Title                 : 8-O-17 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : C2404-004-2 
#   First Author          : R.E.Brown 
#   Institute             : (1USACAL): California Institute of Technology, Pasadena, CA 
#   Reference             : (J,PR,125,347,1962) 
#   Year                  : 1962 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 8 
#   A                     : 17 
#   Isomer                :  
#   Nuclide               : 8-O-17 
# Reaction: 
#   EXFOR Reaction        : (8-O-17(P,A),,WID) 
#   Incident Energy       : 4.8900e+05 eV - 1.2600e+06 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C24/C2404.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C2404
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   4.8900E+05   2.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.0000E+03          NAN
   6.3500E+05   2.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.0000E+03          NAN
   7.0500E+05   3.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.1000E+03   1.4000E+03
   7.7900E+05   3.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.5000E+03          NAN
   8.7500E+05   3.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.2000E+03          NAN
   1.0350E+06   6.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   8.5000E+04   5.0000E+03
   1.0400E+06   4.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.0000E+03          NAN
   1.1770E+06   5.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.0000E+04   3.0000E+03
   1.2030E+06   5.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN   7.9000E+04   5.0000E+03
   1.2600E+06   1.0000E+04        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
