# Header: 
#   Title                 : 8-O-18 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : C1918-004-5 
#   First Author          : D.L.Sellin 
#   Institute             : (1USADKE): Duke University, Durham, NC 
#   Reference             : (J,AP,51,(3),461,1969) 
#   Year                  : 1969 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 8 
#   A                     : 18 
#   Isomer                :  
#   Nuclide               : 8-O-18 
# Reaction: 
#   EXFOR Reaction        : (8-O-18(P,TOT),,WID) 
#   Incident Energy Type   : 1.7660e+06 eV - 3.1480e+06 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C19/C1918.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C1918
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   1.7660E+06   3.0000E+03        1.5        2.0   3.6000E+03          NAN          NAN          NAN   2.1000E+03          NAN          NAN          NAN   1.5000E+03          NAN
   1.9280E+06   3.0000E+03        2.5        3.0   1.5750E+02          NAN          NAN          NAN   8.7500E+01          NAN          NAN          NAN   7.0000E+01          NAN
   2.0010E+06   3.0000E+03        0.5        0.0   3.1000E+04          NAN          NAN          NAN   1.2000E+04          NAN          NAN          NAN   1.9000E+04          NAN
   2.2890E+06   3.0000E+03        0.5        0.0   3.3000E+03          NAN          NAN          NAN   2.3000E+03          NAN          NAN          NAN   1.0000E+03          NAN
   2.3630E+06   3.0000E+03        0.5        0.0   4.5000E+03          NAN          NAN          NAN   2.8000E+03          NAN          NAN          NAN   1.7000E+03          NAN
   2.3870E+06   3.0000E+03        1.5        2.0   2.4000E+04          NAN          NAN          NAN   1.1000E+04          NAN          NAN          NAN   1.3000E+04          NAN
   2.4430E+06   3.0000E+03        1.5        2.0   9.7000E+03          NAN          NAN          NAN   5.2000E+03          NAN          NAN          NAN   4.5000E+03          NAN
   2.6440E+06   3.0000E+03        1.5        2.0   4.6000E+03          NAN          NAN          NAN   2.4000E+03          NAN          NAN          NAN   1.0000E+03          NAN
   2.7680E+06   3.0000E+03        2.5        2.0   4.0000E+03          NAN          NAN          NAN   7.0000E+02          NAN          NAN          NAN   1.1000E+03          NAN
   2.9250E+06   3.0000E+03        0.5        1.0   5.7000E+03          NAN          NAN          NAN   4.5000E+03          NAN          NAN          NAN   1.2000E+03          NAN
   3.0290E+06   3.0000E+03        2.5        2.0   1.9500E+04          NAN          NAN          NAN   1.3000E+04          NAN          NAN          NAN          NAN          NAN
   3.1480E+06   3.0000E+03        1.5        2.0   1.4000E+04          NAN          NAN          NAN   4.5000E+03          NAN          NAN          NAN   4.5000E+03          NAN
