# Header: 
#   Title                 : 8-O-18 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : O2048-003-2 
#   First Author          : H.Orihara 
#   Institute             : (2FR STR): IPHC, Strasbourg 
#   Reference             : (J,NP/A,203,78,1973) 
#   Year                  : 1973 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 8 
#   A                     : 18 
#   Isomer                :  
#   Nuclide               : 8-O-18 
# Reaction: 
#   EXFOR Reaction        : (8-O-18(P,EL),,WID) 
#   Incident Energy Type   : 3.4790e+06 eV - 6.0630e+06 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O20/O2048.x4 
#   nds                   : https://nds.iaea.org/EXFOR/O2048
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   3.4790E+06   8.0000E+03        NAN        NAN   2.3000E+04   5.0000E+03          NAN          NAN   4.3000E+03   1.0000E+03          NAN          NAN          NAN          NAN
   3.5470E+06   2.5000E+04        NAN        NAN   2.8600E+05   3.3000E+04          NAN          NAN   2.4100E+05   2.0000E+03          NAN          NAN          NAN          NAN
   3.6430E+06   9.0000E+03        NAN        NAN   4.0000E+04   7.0000E+03          NAN          NAN   1.7000E+04   3.0000E+03          NAN          NAN          NAN          NAN
   3.6940E+06   9.0000E+03        NAN        NAN   2.9400E+05   6.0000E+03          NAN          NAN   1.2000E+04   2.0000E+03          NAN          NAN          NAN          NAN
   3.7440E+06   8.0000E+03        NAN        NAN   2.3400E+05   5.0000E+03          NAN          NAN   3.7000E+03   1.0000E+03          NAN          NAN          NAN          NAN
   3.8110E+06   1.2000E+04        NAN        NAN   3.0000E+04   1.2000E+04          NAN          NAN   6.6000E+04   7.0000E+03          NAN          NAN          NAN          NAN
   3.8690E+06   8.0000E+03        NAN        NAN   2.8000E+04   7.0000E+03          NAN          NAN   1.2000E+04   2.0000E+03          NAN          NAN          NAN          NAN
   4.2200E+06   2.1000E+04        NAN        NAN   2.0900E+05   2.6000E+04          NAN          NAN   1.3800E+05   1.5000E+04          NAN          NAN          NAN          NAN
   4.3880E+06   1.5000E+04        NAN        NAN   1.2400E+05   1.7000E+04          NAN          NAN   7.6000E+04   9.0000E+03          NAN          NAN          NAN          NAN
   4.4720E+06   1.2000E+04        NAN        NAN   7.8000E+04   1.1000E+04          NAN          NAN   4.8000E+04   6.0000E+03          NAN          NAN          NAN          NAN
   4.7820E+06   7.0000E+03        NAN        NAN   1.6000E+04   4.0000E+03          NAN          NAN   2.4000E+03   1.0000E+03          NAN          NAN          NAN          NAN
   4.8390E+06   1.1000E+04        NAN        NAN   5.3000E+04   1.0000E+04          NAN          NAN   6.4000E+03   2.0000E+03          NAN          NAN          NAN          NAN
   4.8450E+06   4.3000E+04        NAN        NAN   4.3100E+05   6.0000E+04          NAN          NAN   1.4200E+05   2.2000E+04          NAN          NAN          NAN          NAN
   5.0230E+06   3.1000E+04        NAN        NAN   2.8800E+05   4.1000E+04          NAN          NAN   8.3000E+04   1.4000E+04          NAN          NAN          NAN          NAN
   5.0360E+06   1.3000E+04        NAN        NAN   7.0000E+04   1.2000E+04          NAN          NAN   6.0000E+03   2.0000E+03          NAN          NAN          NAN          NAN
   5.1290E+06   3.0000E+04        NAN        NAN   2.8700E+05   4.0000E+04          NAN          NAN   1.1400E+05   1.7000E+04          NAN          NAN          NAN          NAN
   5.3240E+06   1.6000E+04        NAN        NAN   1.0600E+05   1.7000E+04          NAN          NAN   2.0000E+04   4.0000E+03          NAN          NAN          NAN          NAN
   5.3710E+06   1.6000E+04        NAN        NAN   1.0500E+05   1.7000E+04          NAN          NAN   1.6000E+04   3.0000E+03          NAN          NAN          NAN          NAN
   5.6250E+06   8.0000E+03        NAN        NAN   2.9000E+04   6.0000E+03          NAN          NAN   1.0000E+04   3.0000E+03          NAN          NAN          NAN          NAN
   6.0630E+06   1.1000E+04        NAN        NAN   5.3000E+04   9.0000E+03          NAN          NAN   1.3000E+04   3.0000E+03          NAN          NAN          NAN          NAN
