# Header: 
#   Title                 : 15-P-30 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : A.Kankainen 
#   Institute             : (2SPNSPN): Spain 
#   Reference             : (J,PL/B,769,549,2017) 
#   Year                  : 2017 
#   Facility              : (CYCTM): Tandem cyclotrons 
# Target: 
#   Z                     : 15 
#   A                     : 30 
#   Nuclide               : 15-P-30 
# Reaction: 
#   entry-subent-pointer  :['C2267-002-2'] 
#   EXFOR reaction        :['(15-P-30(P,G),,WID/STR)'] 
#   incident energy       : 8.0000e+00 eV - 4.5250e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C22/C2267.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C2267
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(P,TOT)      (P,G)     d(P,G)      (P,EL)   d(P,EL)       (P,F)     d(P,F)
 8.0000E+00 6.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.7900E+01 6.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.2470E+02 6.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.4840E+02 6.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.9640E+02 6.0000E-01        NAN        NAN        NAN        NAN 3.5000E-07 1.9000E-07        NAN        NAN        NAN        NAN
 2.2670E+02 3.0000E-01        NAN        NAN        NAN        NAN 1.4000E-06        NAN        NAN        NAN        NAN        NAN
 2.4630E+02 5.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.5960E+02 7.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6190E+02 3.0000E-01        NAN        NAN        NAN        NAN 4.8000E-07 2.1000E-08        NAN        NAN        NAN        NAN
 2.6360E+02 3.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.1130E+02 5.0000E-01        NAN        NAN        NAN        NAN 1.7000E-04        NAN        NAN        NAN        NAN        NAN
 4.5250E+02 2.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
