# Header: 
#   Title                 : 14-SI-29 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : R.O.Nelson 
#   Institute             : (1USATNL): Triangle Universities Nuclear Laboratory , Durham, NC 
#   Reference             : (J,PR/C,27,930,198303) 
#   Year                  : 1983 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 14 
#   A                     : 29 
#   Nuclide               : 14-SI-29 
# Reaction: 
#   entry-subent-pointer  :{54: 'C0819-004-5', 55: 'C0819-004-5', 56: 'C0819-004-5', 57: 'C0819-004-5', 58: 'C0819-004-5', 59: 'C0819-004-5', 60: 'C0819-004-5', 61: 'C0819-004-5', 62: 'C0819-004-5', 63: 'C0819-004-5', 64: 'C0819-004-5', 65: 'C0819-004-5', 66: 'C0819-004-5', 67: 'C0819-004-5', 68: 'C0819-004-5', 69: 'C0819-004-5', 70: 'C0819-004-5', 71: 'C0819-004-5', 72: 'C0819-004-5', 73: 'C0819-004-5', 74: 'C0819-004-5', 75: 'C0819-004-5', 76: 'C0819-004-5', 77: 'C0819-004-5', 78: 'C0819-004-5', 79: 'C0819-004-5', 80: 'C0819-004-5', 81: 'C0819-004-5', 82: 'C0819-004-5', 83: 'C0819-004-5', 84: 'C0819-004-5', 85: 'C0819-004-5', 86: 'C0819-004-5', 87: 'C0819-004-5', 88: 'C0819-004-5', 89: 'C0819-004-5', 90: 'C0819-004-5', 91: 'C0819-004-5', 92: 'C0819-004-5', 93: 'C0819-004-5', 94: 'C0819-004-5', 95: 'C0819-004-5', 96: 'C0819-004-5', 97: 'C0819-004-5', 98: 'C0819-004-5', 99: 'C0819-004-5', 100: 'C0819-004-5', 101: 'C0819-004-5', 102: 'C0819-004-5', 103: 'C0819-004-5', 104: 'C0819-004-5', 105: 'C0819-004-5', 106: 'C0819-004-5', 107: 'C0819-004-5', 108: 'C0819-004-5', 109: 'C0819-004-5', 110: 'C0819-004-5', 111: 'C0819-004-5', 112: 'C0819-004-5', 113: 'C0819-004-5', 114: 'C0819-004-5', 115: 'C0819-004-5', 116: 'C0819-004-5', 117: 'C0819-004-5', 118: 'C0819-004-5', 119: 'C0819-004-5'} 
#   EXFOR reaction        :{54: '(14-SI-29(P,EL),,WID)', 55: '(14-SI-29(P,EL),,WID)', 56: '(14-SI-29(P,EL),,WID)', 57: '(14-SI-29(P,EL),,WID)', 58: '(14-SI-29(P,EL),,WID)', 59: '(14-SI-29(P,EL),,WID)', 60: '(14-SI-29(P,EL),,WID)', 61: '(14-SI-29(P,EL),,WID)', 62: '(14-SI-29(P,EL),,WID)', 63: '(14-SI-29(P,EL),,WID)', 64: '(14-SI-29(P,EL),,WID)', 65: '(14-SI-29(P,EL),,WID)', 66: '(14-SI-29(P,EL),,WID)', 67: '(14-SI-29(P,EL),,WID)', 68: '(14-SI-29(P,EL),,WID)', 69: '(14-SI-29(P,EL),,WID)', 70: '(14-SI-29(P,EL),,WID)', 71: '(14-SI-29(P,EL),,WID)', 72: '(14-SI-29(P,EL),,WID)', 73: '(14-SI-29(P,EL),,WID)', 74: '(14-SI-29(P,EL),,WID)', 75: '(14-SI-29(P,EL),,WID)', 76: '(14-SI-29(P,EL),,WID)', 77: '(14-SI-29(P,EL),,WID)', 78: '(14-SI-29(P,EL),,WID)', 79: '(14-SI-29(P,EL),,WID)', 80: '(14-SI-29(P,EL),,WID)', 81: '(14-SI-29(P,EL),,WID)', 82: '(14-SI-29(P,EL),,WID)', 83: '(14-SI-29(P,EL),,WID)', 84: '(14-SI-29(P,EL),,WID)', 85: '(14-SI-29(P,EL),,WID)', 86: '(14-SI-29(P,EL),,WID)', 87: '(14-SI-29(P,EL),,WID)', 88: '(14-SI-29(P,EL),,WID)', 89: '(14-SI-29(P,EL),,WID)', 90: '(14-SI-29(P,EL),,WID)', 91: '(14-SI-29(P,EL),,WID)', 92: '(14-SI-29(P,EL),,WID)', 93: '(14-SI-29(P,EL),,WID)', 94: '(14-SI-29(P,EL),,WID)', 95: '(14-SI-29(P,EL),,WID)', 96: '(14-SI-29(P,EL),,WID)', 97: '(14-SI-29(P,EL),,WID)', 98: '(14-SI-29(P,EL),,WID)', 99: '(14-SI-29(P,EL),,WID)', 100: '(14-SI-29(P,EL),,WID)', 101: '(14-SI-29(P,EL),,WID)', 102: '(14-SI-29(P,EL),,WID)', 103: '(14-SI-29(P,EL),,WID)', 104: '(14-SI-29(P,EL),,WID)', 105: '(14-SI-29(P,EL),,WID)', 106: '(14-SI-29(P,EL),,WID)', 107: '(14-SI-29(P,EL),,WID)', 108: '(14-SI-29(P,EL),,WID)', 109: '(14-SI-29(P,EL),,WID)', 110: '(14-SI-29(P,EL),,WID)', 111: '(14-SI-29(P,EL),,WID)', 112: '(14-SI-29(P,EL),,WID)', 113: '(14-SI-29(P,EL),,WID)', 114: '(14-SI-29(P,EL),,WID)', 115: '(14-SI-29(P,EL),,WID)', 116: '(14-SI-29(P,EL),,WID)', 117: '(14-SI-29(P,EL),,WID)', 118: '(14-SI-29(P,EL),,WID)', 119: '(14-SI-29(P,EL),,WID)'} 
#   incident energy       : 1.3020e+06 eV - 3.2656e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C08/C0819.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C0819
#
#        E_in(eV)          dE_in(eV)    data(P,TOT)(eV)       ddata(P,TOT)       data(P,G)         ddata(P,G)        data(P,EL)       ddata(P,EL)        data(P,F)        ddata(P,F)         data(P,A)        ddata(P,A)            spin_j        momentum_l
        1.3020E+06               NAN               NAN               NAN               NAN               NAN        2.5000E+01               NAN               NAN               NAN               NAN               NAN               1.0               0.0
        1.3268E+06               NAN               NAN               NAN               NAN               NAN        3.1000E+03               NAN               NAN               NAN               NAN               NAN               2.0               1.0
        1.3737E+06               NAN               NAN               NAN               NAN               NAN        5.4000E+03               NAN               NAN               NAN               NAN               NAN               1.0               1.0
        1.4709E+06               NAN               NAN               NAN               NAN               NAN        7.0000E+02               NAN               NAN               NAN               NAN               NAN               2.0               1.0
        1.5023E+06               NAN               NAN               NAN               NAN               NAN        2.0000E+01               NAN               NAN               NAN               NAN               NAN               4.0               3.0
        1.5060E+06               NAN               NAN               NAN               NAN               NAN        4.5000E+01               NAN               NAN               NAN               NAN               NAN               4.0               3.0
        1.6393E+06               NAN               NAN               NAN               NAN               NAN        1.5000E+04               NAN               NAN               NAN               NAN               NAN               1.0               1.0
        1.6639E+06               NAN               NAN               NAN               NAN               NAN        3.0000E+01               NAN               NAN               NAN               NAN               NAN               2.0               2.0
        1.6685E+06               NAN               NAN               NAN               NAN               NAN        1.6000E+02               NAN               NAN               NAN               NAN               NAN               0.0               0.0
        1.6844E+06               NAN               NAN               NAN               NAN               NAN        4.5000E+03               NAN               NAN               NAN               NAN               NAN               2.0               1.0
        1.7698E+06               NAN               NAN               NAN               NAN               NAN        1.1000E+02               NAN               NAN               NAN               NAN               NAN               1.0               1.0
        1.7715E+06               NAN               NAN               NAN               NAN               NAN        4.5000E+01               NAN               NAN               NAN               NAN               NAN               2.0               3.0
        1.7881E+06               NAN               NAN               NAN               NAN               NAN        1.6500E+04               NAN               NAN               NAN               NAN               NAN               1.0               1.0
        1.9637E+06               NAN               NAN               NAN               NAN               NAN        3.5000E+03               NAN               NAN               NAN               NAN               NAN               1.0               0.0
        2.0036E+06               NAN               NAN               NAN               NAN               NAN        4.0000E+01               NAN               NAN               NAN               NAN               NAN               3.0               2.0
        2.0361E+06               NAN               NAN               NAN               NAN               NAN        4.0000E+01               NAN               NAN               NAN               NAN               NAN               3.0               2.0
        2.0535E+06               NAN               NAN               NAN               NAN               NAN        1.7000E+02               NAN               NAN               NAN               NAN               NAN               2.0               3.0
        2.0789E+06               NAN               NAN               NAN               NAN               NAN        2.3000E+02               NAN               NAN               NAN               NAN               NAN               3.0               2.0
        2.1203E+06               NAN               NAN               NAN               NAN               NAN        6.5000E+01               NAN               NAN               NAN               NAN               NAN               3.0               2.0
        2.2223E+06               NAN               NAN               NAN               NAN               NAN        5.2000E+04               NAN               NAN               NAN               NAN               NAN               1.0               1.0
        2.2294E+06               NAN               NAN               NAN               NAN               NAN        5.3000E+02               NAN               NAN               NAN               NAN               NAN               1.0               0.0
        2.2679E+06               NAN               NAN               NAN               NAN               NAN        1.7000E+01               NAN               NAN               NAN               NAN               NAN               4.0               3.0
        2.2849E+06               NAN               NAN               NAN               NAN               NAN        1.0000E+01               NAN               NAN               NAN               NAN               NAN               4.0               3.0
        2.3095E+06               NAN               NAN               NAN               NAN               NAN        5.0000E+01               NAN               NAN               NAN               NAN               NAN               3.0               3.0
        2.3588E+06               NAN               NAN               NAN               NAN               NAN        1.5000E+01               NAN               NAN               NAN               NAN               NAN               4.0               3.0
        2.3771E+06               NAN               NAN               NAN               NAN               NAN        7.0000E+04               NAN               NAN               NAN               NAN               NAN               2.0               1.0
        2.4063E+06               NAN               NAN               NAN               NAN               NAN        3.8000E+02               NAN               NAN               NAN               NAN               NAN               2.0               2.0
        2.4183E+06               NAN               NAN               NAN               NAN               NAN        2.8000E+04               NAN               NAN               NAN               NAN               NAN               0.0               0.0
        2.4866E+06               NAN               NAN               NAN               NAN               NAN        1.0000E+03               NAN               NAN               NAN               NAN               NAN               0.0               0.0
        2.4901E+06               NAN               NAN               NAN               NAN               NAN        4.3000E+03               NAN               NAN               NAN               NAN               NAN               1.0               1.0
        2.4979E+06               NAN               NAN               NAN               NAN               NAN        6.5000E+02               NAN               NAN               NAN               NAN               NAN               3.0               2.0
        2.5056E+06               NAN               NAN               NAN               NAN               NAN        1.6000E+02               NAN               NAN               NAN               NAN               NAN               2.0               2.0
        2.5221E+06               NAN               NAN               NAN               NAN               NAN        5.0000E+01               NAN               NAN               NAN               NAN               NAN               2.0               1.0
        2.5881E+06               NAN               NAN               NAN               NAN               NAN        7.4000E+03               NAN               NAN               NAN               NAN               NAN               1.0               0.0
        2.5992E+06               NAN               NAN               NAN               NAN               NAN        3.2000E+02               NAN               NAN               NAN               NAN               NAN               2.0               2.0
        2.6602E+06               NAN               NAN               NAN               NAN               NAN        1.7000E+03               NAN               NAN               NAN               NAN               NAN               1.0               1.0
        2.6761E+06               NAN               NAN               NAN               NAN               NAN        1.8000E+04               NAN               NAN               NAN               NAN               NAN               1.0               0.0
        2.6826E+06               NAN               NAN               NAN               NAN               NAN        7.0000E+02               NAN               NAN               NAN               NAN               NAN               3.0               3.0
        2.7019E+06               NAN               NAN               NAN               NAN               NAN        4.0000E+01               NAN               NAN               NAN               NAN               NAN               4.0               3.0
        2.7027E+06               NAN               NAN               NAN               NAN               NAN        1.3000E+04               NAN               NAN               NAN               NAN               NAN               0.0               0.0
        2.7057E+06               NAN               NAN               NAN               NAN               NAN        3.0000E+04               NAN               NAN               NAN               NAN               NAN               0.0               1.0
        2.7745E+06               NAN               NAN               NAN               NAN               NAN        6.0000E+01               NAN               NAN               NAN               NAN               NAN               2.0               3.0
        2.7766E+06               NAN               NAN               NAN               NAN               NAN        1.3000E+03               NAN               NAN               NAN               NAN               NAN               2.0               2.0
