# Header: 
#   Title                 : 14-SI-29 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : F0558-002-2 
#   First Author          : J.P.L.Reinecke 
#   Institute             : (3SAFPOT): University of Potchefstrom, Potchefstrom 
#   Reference             : (J,NP/A,435,333,1985) 
#   Year                  : 1985 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 14 
#   A                     : 29 
#   Isomer                :  
#   Nuclide               : 14-SI-29 
# Reaction: 
#   EXFOR Reaction        : (14-SI-29(P,G),,WID/STR) 
#   Incident Energy Type   : 3.2410e+05 eV - 2.2406e+06 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F05/F0558.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F0558
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   3.2410E+05   7.0000E+02        NAN        NAN          NAN          NAN   6.0000E-02   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.1660E+05   7.0000E+02        NAN        NAN          NAN          NAN   1.0400E+00   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   6.9860E+05   7.0000E+02        NAN        NAN          NAN          NAN   1.3000E+00   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   7.2930E+05   4.0000E+02        NAN        NAN          NAN          NAN   4.9000E-01   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   9.1770E+05   4.0000E+02        NAN        NAN          NAN          NAN   4.4000E-01   9.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   9.5710E+05   4.0000E+02        NAN        NAN          NAN          NAN   2.0000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.1107E+06   6.0000E+02        NAN        NAN          NAN          NAN   1.8000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.3026E+06   4.0000E+02        NAN        NAN          NAN          NAN   1.6000E+00   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.3251E+06   6.0000E+02        NAN        NAN          NAN          NAN   7.0000E-01   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.3269E+06   6.0000E+02        NAN        NAN          NAN          NAN   2.4000E+00   9.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.3731E+06   4.0000E+02        NAN        NAN          NAN          NAN   3.4000E+00   9.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.4711E+06   4.0000E+02        NAN        NAN          NAN          NAN   9.0000E-01   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.5025E+06   7.0000E+02        NAN        NAN          NAN          NAN   9.0000E-02   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.5063E+06   4.0000E+02        NAN        NAN          NAN          NAN   2.8000E+00   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.6376E+06   6.0000E+02        NAN        NAN          NAN          NAN   4.0000E+00   1.2000E+00          NAN          NAN          NAN          NAN          NAN          NAN
   1.6641E+06   6.0000E+02        NAN        NAN          NAN          NAN   9.0000E-01   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.6693E+06   6.0000E+02        NAN        NAN          NAN          NAN   4.7000E-01   9.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.6857E+06   4.0000E+02        NAN        NAN          NAN          NAN   5.5000E+00   1.4000E+00          NAN          NAN          NAN          NAN          NAN          NAN
   1.7461E+06   7.0000E+02        NAN        NAN          NAN          NAN   1.9000E+00   7.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.7479E+06   4.0000E+02        NAN        NAN          NAN          NAN   4.7000E+00   1.4000E+00          NAN          NAN          NAN          NAN          NAN          NAN
   1.7708E+06   7.0000E+02        NAN        NAN          NAN          NAN   8.0000E-01   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.7722E+06   7.0000E+02        NAN        NAN          NAN          NAN   7.0000E-01   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.8528E+06   7.0000E+02        NAN        NAN          NAN          NAN   3.8000E-01   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.9669E+06   7.0000E+02        NAN        NAN          NAN          NAN   1.3000E+00   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.0383E+06   1.3000E+03        NAN        NAN          NAN          NAN   2.4000E+00   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.0553E+06   2.0000E+03        NAN        NAN          NAN          NAN   5.7000E-01   1.1000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.0813E+06   1.5000E+03        NAN        NAN          NAN          NAN   4.5000E+00   9.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.1135E+06   1.5000E+03        NAN        NAN          NAN          NAN   1.8000E+00   4.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.1218E+06   1.5000E+03        NAN        NAN          NAN          NAN   3.9000E+00   8.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.1699E+06   2.0000E+03        NAN        NAN          NAN          NAN   4.1000E-01   8.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.2319E+06   1.5000E+03        NAN        NAN          NAN          NAN   1.8000E+00   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.2360E+06   2.0000E+03        NAN        NAN          NAN          NAN   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2406E+06   1.5000E+03        NAN        NAN          NAN          NAN   3.1000E+00   6.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
