# Header: 
#   title: 90-TH-232(N,0) Level Spacing (SF6='D' in EXFOR) for s-wave resonances 
#   source: EXFOR 
#   date created: 2025-03-19 
# Target: 
#   Z: 90 
#   A: 232 
#   Nuclide: 90-TH-232 
# Reaction: 
#   Type: N,0
#
# Data Table
## Experimental Data
# EXFOR ID          First Author            Year   En_min[MeV]  En_max [MeV] Data [keV]   dData [keV]       Momentum L   SPIN J       PARITY
40382-051-0         I.A.Radkevich           1956   2.2000E-05   2.9500E-04   2.0000E-02          NAN        NAN          NAN          NAN
20149-065-0         P.Ribon                 1969   8.0000E-06   3.0000E-03   1.7000E-02   1.0000E-03        0.0          NAN          NAN
23060-002-3         N.Janeva                2004   4.0000E-03   4.0000E-02   1.8640E-02          NAN        1.0          NAN          NAN
23060-003-3         N.Janeva                2004   4.0000E-03   4.0000E-02   1.7900E-02          NAN        0.0          0.5          NAN
23060-003-3         N.Janeva                2004   4.0000E-03   4.0000E-02   1.7900E-02          NAN        1.0          0.5          NAN
23060-003-3         N.Janeva                2004   4.0000E-03   4.0000E-02   8.9500E-03          NAN        1.0          1.5          NAN
23060-003-3         N.Janeva                2004   4.0000E-03   4.0000E-02   8.9500E-03          NAN        2.0          2.0          NAN
23060-003-3         N.Janeva                2004   4.0000E-03   4.0000E-02   6.0000E-03          NAN        2.0          2.0          NAN
23167-003-0         F.Gunsing               2012          NAN          NAN   1.7200E-02   9.0000E-04        0.0          NAN          NAN



## RIPL3 Data
# ID                First Author            Year   En_min[MeV]  En_max [MeV] Data [keV]   dData [keV]       Momentum L
RIPL-3 D0           A.V. Ignatyuk           2009          NAN          NAN   1.6500E-02   4.0000E-04        0.0
RIPL-3 D1           A.V. Ignatyuk           2009          NAN          NAN   5.9000E-03   2.0000E-04        1.0
